,Graph,Sep 22,Aug 22,Jul 22,Jun 22,May 22,Apr 22,Mar 22,Feb 22,Jan 22,Nov 21
Original Balance,LCLC21N1,"24,870,309.41","24,870,309.41","24,870,309.41","24,870,309.41","24,870,309.41","24,870,309.41","24,870,309.41","24,870,309.41","24,870,309.41","24,870,309.41"
Current Balance,LCLC21N1,"17,430,471.42","18,513,256.84","19,489,854.07","20,475,210.41","21,396,413.38","22,214,131.16","23,051,006.41","23,751,442.42","24,281,152.00","24,870,309.41"
Factor,LCLC21N1,0.7009,0.7444,0.7837,0.8233,0.8603,0.8932,0.9268,0.9550,0.9763,1.0000
Gross Coupon,LCLC21N1,29.5795,29.5936,29.5857,29.6216,29.5974,29.5900,29.5933,25.5928,25.5859,25.5806
Net Coupon,LCLC21N1,29.5795,29.5936,29.5857,29.6216,29.5974,29.5900,29.5933,25.5928,25.5859,25.5806
WAVG Amort Term,LCLC21N1,40,41,42,42,43,44,45,46,47,48
WAVG Rem Term,LCLC21N1,40,41,42,42,43,44,45,46,47,48
WAVG IO Term,LCLC21N1,-,-,-,-,-,-,-,-,-,-
WALA,LCLC21N1,9,8,7,6,5,4,3,2,1,0
Number of Assets,LCLC21N1,"2,510","2,613","2,691","2,785","2,869","2,936","3,009","3,050","3,071","3,097"
State % 1st,LCLC21N1,-,CO--0.176307606,-,CO--0.064648957,CO--0.027374915,FI--0.037813768,CO--0.025652719,CA--10.045779695,CA--9.989978853,CA--9.969115499
State % 2nd,LCLC21N1,-,-,-,-,-,CO--0.007513371,FI--0.013014616,TX--8.136507315,TX--8.087411586,TX--8.193838590
State % 3rd,LCLC21N1,-,-,-,-,-,-,-,FL--7.913549614,FL--7.860696519,FL--7.939306132
State % 4th,LCLC21N1,-,-,-,-,-,-,-,NY--7.353953411,NY--7.372715677,NY--7.445943311
State % 5th,LCLC21N1,-,-,-,-,-,-,-,GA--5.142563127,GA--5.172931622,GA--5.116241133
1mo CPR,LCLC21N1,40.16,33.99,32.88,28.94,23.71,23.68,16.39,8.68,-,-
3mo CPR,LCLC21N1,35.78,31.95,28.60,25.46,20.62,16.12,-,1.04,-,-
6mo CPR,LCLC21N1,30.77,25.98,22.07,-,11.09,-,-,-,-,-
Life CPR,LCLC21N1,20.43,18.08,16.08,13.63,11.09,8.71,4.99,1.04,-2.71,-
1mo CRR,LCLC21N1,17.50,19.59,20.43,19.54,16.69,23.32,16.39,8.68,-,-
3mo CRR,LCLC21N1,19.21,19.83,18.89,19.86,18.12,15.99,-,-,-,-
6mo CRR,LCLC21N1,19.48,18.41,16.88,-,-,-,-,-,-,-
Life CRR,LCLC21N1,12.93,12.62,11.95,10.93,9.72,8.62,4.99,1.04,-2.71,-
1mo CDR,LCLC21N1,27.09,17.61,15.37,11.49,8.30,0.46,0.00,0.00,0.00,-
3mo CDR,LCLC21N1,20.19,14.86,11.77,6.86,3.00,0.15,0.00,-,-,-
6mo CDR,LCLC21N1,13.78,9.12,6.14,3.49,-,-,-,-,-,-
Life CDR,LCLC21N1,8.51,6.18,4.64,3.00,1.51,0.09,0.00,0.00,0.00,-
1mo Severity,LCLC21N1,96.14,99.80,100.00,99.98,98.51,100.00,0.00,0.00,100.00,-
3mo Severity,LCLC21N1,98.21,99.92,99.63,99.37,98.59,100.00,100.00,-,-,-
6mo Severity,LCLC21N1,98.52,99.69,99.64,99.39,-,-,-,-,-,-
Life Severity,LCLC21N1,98.53,99.69,99.65,99.39,98.71,100.00,100.00,100.00,100.00,-
Annualized Net Loss Rate,LCLC21N1,29.98,19.18,16.57,12.14,8.50,0.46,0.00,0.00,0.00,-
Accum Net Loss%,LCLC21N1,5.85,3.99,2.74,1.60,0.73,0.10,0.06,0.06,0.06,-
Accum Net Loss,LCLC21N1,"1,454,638.86","992,084.43","680,619.36","397,834.16","181,354.01","23,913.21","15,000.00","15,000.00","15,000.00",-
Delinq 30-59,LCLC21N1,3.00,3.08,2.61,2.55,1.57,1.44,0.94,0.81,0.00,-
Delinq 60-89,LCLC21N1,2.68,2.51,2.32,1.46,1.56,1.01,0.68,0.00,0.00,-
Delinq 30+,LCLC21N1,8.45,8.06,6.49,5.44,4.12,3.14,1.62,0.81,0.00,-
Delinq 60+,LCLC21N1,5.45,4.98,3.88,2.88,2.55,1.70,0.68,0.00,0.00,-
Delinq 90+,LCLC21N1,2.77,2.47,1.56,1.42,0.99,0.68,0.00,0.00,0.00,-
Delinq 90-119,LCLC21N1,2.74,2.47,1.44,1.42,1.01,0.70,0.00,0.00,0.00,-
Delinq 120+,LCLC21N1,0.03,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,-
Delinq 30+/FC/REO (incl BK),LCLC21N1,8.45,8.06,6.49,5.44,4.12,3.14,1.62,0.81,-,-
Delinq 60+/FC/REO (incl BK),LCLC21N1,5.45,4.98,3.88,2.88,2.55,1.70,0.68,-,-,-
Delinq 90+/FC/REO (incl BK),LCLC21N1,2.77,2.47,1.56,1.42,0.99,0.68,-,-,-,-
% Non-Perf,LCLC21N1,5.45,4.98,3.88,2.88,2.55,1.70,0.68,-,-,0.00
% Re-Perf (last 6 mos),LCLC21N1,0.39,0.27,0.15,0.10,0.03,-,-,-,-,0.00
% Always Perf (last 6 mos),LCLC21N1,94.16,94.75,95.97,97.01,97.10,97.99,98.98,99.67,99.67,100.00
% Re-Perf (last 12 mos),LCLC21N1,0.39,0.27,0.15,0.10,0.03,-,-,-,-,0.00
% Unknown (last 12 mos),LCLC21N1,0.23,0.25,0.24,0.24,0.32,0.31,0.33,0.33,0.33,0.00
% Always Perf (last 12 mos),LCLC21N1,93.93,94.51,95.73,96.77,97.10,97.99,98.98,99.67,99.67,100.00
% Re-Perf (last 24 mos),LCLC21N1,0.39,0.27,0.15,0.10,0.03,-,-,-,-,0.00
% Unknown (last 24 mos),LCLC21N1,0.23,0.25,0.24,0.24,0.32,0.31,0.33,0.33,0.33,0.00
% Always Perf (last 24 mos),LCLC21N1,93.93,94.51,95.73,96.77,97.10,97.99,98.98,99.67,99.67,100.00
% Re-Perf (last 60 mos),LCLC21N1,0.39,0.27,0.15,0.10,0.03,-,-,-,-,0.00
% Unknown (last 60 mos),LCLC21N1,0.23,0.25,0.24,0.24,0.32,0.31,0.33,0.33,0.33,0.00
% Always Perf (last 60 mos),LCLC21N1,93.93,94.51,95.73,96.77,97.10,97.99,98.98,99.67,99.67,100.00
Paystatus - Months 30 Delinq over 6 mos,LCLC21N1,0.10,0.09,0.08,0.06,0.04,0.03,0.02,0.01,0.00,0.00
Paystatus - Months 60 Delinq over 6 mos,LCLC21N1,0.06,0.05,0.04,0.03,0.03,0.02,0.01,0.00,0.00,0.00
Paystatus - Months 90+ Delinq over 6 mos,LCLC21N1,0.03,0.03,0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.00
Paystatus - Months 30 Delinq over 12 mos,LCLC21N1,0.10,0.09,0.08,0.06,0.04,0.03,0.02,0.01,0.00,0.00
Paystatus - Months 60 Delinq over 12 mos,LCLC21N1,0.06,0.05,0.04,0.03,0.03,0.02,0.01,0.00,0.00,0.00
Paystatus - Months 90+ Delinq over 12 mos,LCLC21N1,0.03,0.03,0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.00
Paystatus - Months 30 Delinq over 24 mos,LCLC21N1,0.10,0.09,0.08,0.06,0.04,0.03,0.02,0.01,0.00,0.00
Paystatus - Months 60 Delinq over 24 mos,LCLC21N1,0.06,0.05,0.04,0.03,0.03,0.02,0.01,0.00,0.00,0.00
Paystatus - Months 90+ Delinq over 24 mos,LCLC21N1,0.03,0.03,0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.00
Paystatus - Months 30 Delinq over 90 mos,LCLC21N1,0.10,0.09,0.08,0.06,0.04,0.03,0.02,0.01,0.00,0.00
Paystatus - Months 60 Delinq over 90 mos,LCLC21N1,0.06,0.05,0.04,0.03,0.03,0.02,0.01,0.00,0.00,0.00
Paystatus - Months 90+ Delinq over 90 mos,LCLC21N1,0.03,0.03,0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.00
Collected Interest,LCLC21N1,"356,691.21","362,861.35","388,851.53","434,634.00","429,592.47","469,135.49","494,660.42","519,002.46","469,607.22",-
Collected Principal,LCLC21N1,"601,637.25","664,518.77","702,571.14","704,673.27","657,902.14","827,962.04","700,436.01","515,084.58","574,157.41",-
