,Graph,"Sep 25, 2022","Aug 25, 2022","Jul 25, 2022","Jun 25, 2022","May 25, 2022","Apr 25, 2022","Mar 25, 2022","Feb 25, 2022","Jan 25, 2022","Dec 25, 2021","Nov 25, 2021","Oct 25, 2021","Sep 25, 2021","Aug 25, 2021","Jul 25, 2021","Jun 25, 2021","May 25, 2021","Apr 25, 2021","Mar 25, 2021","Feb 25, 2021","Jan 25, 2021","Dec 25, 2020","Nov 25, 2020","Oct 25, 2020","Sep 25, 2020","Aug 25, 2020","Jul 25, 2020","Jun 25, 2020","May 25, 2020","Apr 25, 2020","Mar 25, 2020","Feb 01, 2020"
Current Deal Balance,,"52,211,654.83","56,422,929.74","61,427,893.03","66,755,029.61","72,020,852.38","78,399,732.58","85,089,982.50","91,996,501.21","99,326,361.50","107,021,070.28","114,025,186.43","123,006,427.64","132,348,230.16","142,824,671.73","153,923,724.07","164,173,601.13","175,576,084.15","186,950,803.09","198,743,748.50","210,213,672.47","221,950,952.30","232,787,872.25","244,347,985.14","256,054,654.92","268,092,541.35","280,922,092.14","295,271,883.59","309,665,166.96","325,037,127.75","341,403,991.80","357,820,224.80","372,000,000.00"
Current Collat Balance,,"58,337,044.50","63,042,379.60","68,634,517.35","74,586,625.26","80,470,226.12","87,597,466.57","95,072,606.15","102,789,386.83","110,979,174.86","119,576,614.84","127,402,442.94","137,437,349.32","147,875,117.50","159,580,638.80","171,981,814.60","183,434,191.21","196,174,395.70","208,883,578.87","222,060,054.19","234,875,611.70","247,989,890.84","260,098,181.29","273,014,508.54","286,094,586.50","299,544,738.94","313,879,432.56","329,912,719.10","345,994,599.95","360,330,787.40","374,201,115.52","388,075,387.31","400,000,068.82"
WALA,SFLP2001,37.000000000,36.000000000,35.000000000,34.000000000,33.000000000,32.000000000,31.000000000,30.000000000,29.000000000,28.000000000,27.000000000,26.000000000,25.000000000,24.000000000,23.000000000,22.000000000,21.000000000,20.000000000,19.000000000,18.000000000,17.000000000,16.000000000,15.000000000,14.000000000,13.000000000,12.000000000,11.000000000,10.000000000,9.000000000,8.000000000,7.000000000,4.207337361
Gross Coupon,,12.0290,11.9960,11.9490,11.9170,11.8830,11.8560,11.8400,11.8270,11.8090,11.7890,11.7740,11.7550,11.7420,11.7200,11.7040,11.6860,11.6570,11.6300,11.5920,11.5730,11.5440,11.5100,11.4960,11.4770,11.4470,11.4220,11.4030,11.3780,11.3640,11.3690,11.3610,-
Gross Coupon (Derived),,12.0290,11.9956,11.9495,11.9165,11.8832,11.8558,11.8402,11.8274,11.8087,11.7886,11.7737,11.7554,11.7423,11.7199,11.7041,11.6863,11.6569,11.6300,11.5924,11.5730,11.5438,11.5104,11.4960,11.4774,11.4469,11.4222,11.4027,11.3780,11.3637,11.3692,11.3607,11.3159
WAS,,9.9236,9.9297,9.9878,9.9918,9.9804,9.9903,9.9395,9.9262,9.8902,9.9256,9.9260,9.9356,9.8801,9.8541,9.9211,9.9033,9.8785,9.8778,9.7980,9.7623,9.6892,9.6612,9.6461,9.5708,9.5323,9.4977,9.4618,9.3880,9.3653,9.3564,9.3319,9.2217
WAVG Amort Term,,27,27,28,28,29,30,30,31,32,32,33,34,34,35,36,36,37,38,39,39,40,41,41,42,43,44,44,45,46,47,47,49
WAVG Rem Term,,27,28,28,29,29,30,31,32,32,33,34,34,35,36,36,37,38,38,39,40,40,41,42,43,43,44,45,46,46,47,48,49
Number of Assets,,"3,954","4,140","4,362","4,607","4,876","5,102","5,337","5,622","5,890","6,166","6,478","6,888","7,260","7,630","7,982","8,302","8,695","9,035","9,424","9,741","10,061","10,360","10,662","10,969","11,254","11,569","11,928","12,244","12,505","12,769","13,025",-
Excess Interest,,"460,143.60","500,987.36","540,420.22","589,605.81","642,369.10","666,946.89","703,684.47","813,122.26","888,814.97","921,484.30","1,024,217.78","1,090,070.78","1,198,746.43","1,261,206.66","1,353,518.39","1,448,859.36","1,536,568.43","1,570,986.83","1,635,866.90","1,857,315.82","1,897,513.46","1,953,319.67","2,087,279.54","2,180,402.66","2,347,724.87","2,407,536.21","2,497,715.23","2,488,227.63","2,518,441.47","2,579,282.05","1,901,751.66",-
