Date,CLASS,CCY,SZE(M),WAL,MO,SP,FI,DR,KR,C/E,LTV,TYPE,BNCH,GDNC,SPRD,CPN,YLD,PRICE
"Feb 5, 2020",A,USD,166.6,0.83,A3,-,-,-,A+,-,-,Fixed,EDSF,70-75,65,2.26%,2.28%,99.99242
"Feb 5, 2020",B,USD,29,2.12,Baa3,-,-,-,A,-,-,Fixed,Swaps,150-160,145,2.92%,2.94%,99.98944
"Feb 5, 2020",C,USD,44.6,2.95,NR,-,-,-,BB,-,-,Fixed,Swaps,300a,320,4.61%,4.66%,99.99045
"Nov 15, 2019",A,USD,309.1,1.1,-,-,-,-,A+,-,-,Fixed,EDSF,90a,90,2.59%,2.61%,99.99006
"Nov 15, 2019",B,USD,31.35,2.71,-,-,-,-,BBB,-,-,Fixed,Swaps,190,190,3.48%,3.51%,99.99004
"Nov 15, 2019",C,USD,17.7,3.4,-,-,-,-,BB,-,-,Fixed,Swaps,315-325,315,4.70%,4.75%,99.9782
"Sep 4, 2019",A,USD,200.7,0.86,A3,-,-,-,A+,-,-,Fixed,EDSF,80-85,73,2.47%,2.48%,99.99976
"Sep 4, 2019",B,USD,37.9,2.26,Baa3,-,-,-,A-,-,-,Fixed,Swaps,150a,145,2.83%,2.85%,99.98425
"Sep 4, 2019",C,USD,49.2,3.19,NR,-,-,-,BB,-,-,Fixed,Swaps,300a,315,4.41%,4.46%,99.97292
"Jun 18, 2019",A,USD,187.7,0.9,A3,-,-,-,A+,-,-,Fixed,EDSF,90a,83,2.94%,2.96%,99.99628
"Jun 18, 2019",B,USD,36.9,2.39,Baa3,-,-,-,BBB+,-,-,Fixed,Swaps,150-160,145,3.28%,3.31%,99.97816
"Jun 18, 2019",C,USD,45,3.18,NR,-,-,-,BB,-,-,Fixed,Swaps,275-300,290,4.66%,4.71%,99.9746
"Mar 21, 2019",A,USD,199.3,0.89,-,-,-,-,A-,-,-,Fixed,EDSF,-,90,3.52%,3.54%,100.101
"Mar 21, 2019",B,USD,25.6,2.36,-,-,-,-,BBB,-,-,Fixed,Swaps,-,150,4.01%,3.97%,100.2655
"Mar 21, 2019",C,USD,43.7,3.09,-,-,-,-,BB,-,-,Fixed,Swaps,-,265,5.26%,5.07%,100.8383
"Dec 6, 2018",A,USD,208.9,1.03,-,-,-,-,A-,-,-,Fixed,EDSF,-,100,-,3.85%,99.99843
"Dec 6, 2018",B,USD,24.2,2.62,-,-,-,-,BBB,-,-,Fixed,Swaps,-,150,-,4.37%,99.97687
"Dec 6, 2018",C,USD,39.3,3.27,-,-,-,-,BB,-,-,Fixed,Swaps,-,275,-,5.61%,99.98699
"Sep 18, 2018",A,USD,202.9,1.01,-,-,-,-,A-,-,-,Fixed,EDSF,80a,73,3.47%,3.50%,99.99978
"Sep 18, 2018",B,USD,25.3,2.58,-,-,-,-,BBB,-,-,Fixed,Swaps,120a,115,4.10%,4.14%,99.98548
"Sep 18, 2018",C,USD,42.1,3.27,-,-,-,-,BB,-,-,Fixed,Swaps,240-250,225,5.21%,5.27%,99.98111
"Jun 14, 2018",A,USD,218.8,0.99,-,-,-,-,A-,-,-,Fixed,EDSF,75-80,80,3.39%,3.42%,99.99086
"Jun 14, 2018",B,USD,28.8,2.56,-,-,-,-,BBB,-,-,Fixed,Swaps,125a,125,4.07%,4.11%,99.97933
"Jun 14, 2018",C,USD,46.8,3.31,-,-,-,-,BB,-,-,Fixed,Swaps,225-235,250,5.21%,5.41%,99.57249
"Mar 15, 2018",A,USD,180.717,0.44,-,-,-,-,A-,-,-,Fixed,EDSF,-,72,2.99%,3.11%,99.9965
"Mar 15, 2018",B,USD,42.876,1.23,-,-,-,-,BBB,-,-,Fixed,EDSF,-,125,3.67%,3.70%,99.99673
"Mar 15, 2018",C,USD,78.134,1.95,-,-,-,-,BB,-,-,Fixed,EDSF,-,220,4.74%,4.79%,99.99292
"Dec 13, 2017",A,USD,157.614,0.46,-,-,-,-,A-,-,-,Fixed,EDSF,90-95,85,2.55%,2.57%,99.99762
"Dec 13, 2017",C,USD,69.481,2.06,-,-,-,-,BB,-,-,Fixed,Swaps,300a,290,4.87%,4.93%,99.98609
"Nov 29, 2017",A,USD,227.43,0.97,-,-,-,-,A-,-,-,Fixed,EDSF,85a,85,2.61%,2.63%,99.99732
"Nov 29, 2017",B,USD,32.87,2.52,-,-,-,-,BBB,-,-,Fixed,Swaps,165-175,160,3.56%,3.59%,99.98446
"Nov 29, 2017",C-1,USD,53.2,3.31,-,-,-,-,BB,-,-,Fixed,Swaps,300-325,290,4.91%,4.96%,99.9952
"Sep 15, 2017",A,USD,217.334,0.77,-,-,-,-,A-,-,-,Fixed,EDSF,100-110,97,2.42%,2.44%,99.99698
"Sep 15, 2017",B,USD,51.045,2.1,-,-,-,-,BBB-,-,-,Fixed,Swaps,180-190,195,3.56%,3.59%,99.99066
"Sep 15, 2017",C,USD,54.728,2.94,-,-,-,-,BB-,-,-,Fixed,Swaps,340-350,335,5.02%,5.08%,99.99334
"Jun 14, 2017",A,USD,154.294,0.42,-,-,-,-,A-,-,-,Fixed,EDSF,125-135,110,2.39%,2.40%,99.9997
"Jun 14, 2017",B,USD,39.173,1.18,-,-,-,-,BBB,-,-,Fixed,EDSF,200-215,180,3.17%,3.19%,99.99954
"Jun 14, 2017",C,USD,71.951,1.91,-,-,-,-,BB,-,-,Fixed,EDSF,400-425,370,5.13%,5.19%,99.98658
"Mar 7, 2017",A,USD,176.39,0.83,-,-,-,-,BBB,-,-,Fixed,YLD,-,188,3.25%,3.25%,-
"Mar 7, 2017",B,USD,36.747,2.67,-,-,-,-,BB-,-,-,Fixed,YLD,-,371,5.50%,5.50%,-
"Dec 1, 2016",A,USD,85.34,0.78,-,-,-,-,BBB,-,-,Fixed,EDSF,-,200,3.00%,-,100
"Dec 1, 2016",B,USD,16.411,2.41,-,-,-,-,BB-,-,-,Fixed,Swaps,-,499,6.00%,-,100
"Jul 29, 2016",A,USD,88.06,0.75,-,-,-,-,-,-,-,Fixed,Swaps,4%,-,3.75%,3.75%,100
"Jul 29, 2016",B,USD,16.935,2.31,-,-,-,-,-,-,-,Fixed,Swaps,7%,-,6.50%,6.50%,100
"Jul 29, 2016",CERT,USD,30.002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Retained
