Date,CLASS,CCY,SZE(M),WAL,MO,SP,FI,DR,KR,C/E,LTV,TYPE,BNCH,GDNC,SPRD,CPN,YLD,PRICE
"Oct 31, 2022",A,USD,194.674,0.61,-,-,-,AA (L),-,37.49%,-,Fixed,I-Curve,-,300,7.45%,7.57%,99.99941
"Oct 31, 2022",B,USD,44.209,1.68,-,-,-,A (L),-,23.24%,-,Fixed,I-Curve,-,460,8.53%,9.13%,99.3386
"Oct 31, 2022",C,USD,30.248,2.26,-,-,-,BBB (L),-,13.49%,-,Fixed,I-Curve,-,750,10.15%,11.97%,96.96548
"Jul 12, 2022",A,USD,295.041,0.65,-,-,-,AA (L),-,-,-,Fixed,I-Curve,-,320,5.94%,6.02%,99.99593
"Jul 12, 2022",B,USD,36.624,1.69,-,-,-,A (L),-,-,-,Fixed,I-Curve,-,450,7.40%,7.52%,99.98774
"Jul 12, 2022",C,USD,38.466,2.1,-,-,-,BBB (L),-,-,-,Fixed,I-Curve,-,650,9.36%,9.55%,99.98738
"May 19, 2022",A,USD,289.514,2.04,-,-,-,AA (L),-,-,-,Fixed,I-Curve,-,250,5.05%,5.13%,99.94708
"May 19, 2022",B,USD,53.197,2.04,-,-,-,A (L),-,-,-,Fixed,I-Curve,-,405,5.25%,6.68%,97.44614
"May 19, 2022",C,USD,46.035,2.04,-,-,-,BBB (L),-,-,-,Fixed,I-Curve,-,530,7.40%,7.93%,99.2401
"May 19, 2022",D,USD,11.254,2.04,-,-,-,BB (H),-,-,-,-,-,-,-,-,-,Retained
"Mar 24, 2022",A,USD,348.633,0.82,-,-,-,AA (L),A,-,-,Fixed,EDSF,190,190,3.25%,3.62%,99.7234
"Mar 24, 2022",B,USD,30.316,2.22,-,-,-,A (L),BBB,-,-,Fixed,Swaps,255,255,4.75%,4.98%,99.62627
"Mar 24, 2022",C,USD,21.051,2.29,-,-,-,BBB (L),NR,-,-,Fixed,Swaps,355-365,380,6.00%,6.24%,99.66743
"Oct 25, 2021",A,USD,377.033,2.94,-,-,-,AA (L),A,-,-,Fixed,Swaps,130a,130,2.18%,2.19%,99.98842
"Oct 25, 2021",B,USD,59.233,2.94,-,-,-,A (L),BBB,-,-,Fixed,Swaps,180a,180,2.67%,2.69%,99.97443
"Oct 25, 2021",C,USD,48.734,2.94,-,-,-,BBB (L),NR,-,-,Fixed,Swaps,275-285,275,3.61%,3.64%,99.98128
"Oct 25, 2021",D,USD,15,2.94,-,-,-,BB (H),NR,-,-,Fixed,Swaps,475-485,475,5.57%,5.64%,99.97579
"Apr 28, 2021",A,USD,340.153,2.99,-,-,-,AA (L),A,-,-,Fixed,Swaps,-,100,1.47%,1.48%,99.98985
"Apr 28, 2021",B,USD,71.611,2.99,-,-,-,A (L),BBB,-,-,Fixed,Swaps,-,150,1.96%,1.98%,99.97125
"Apr 28, 2021",C,USD,52.43,2.99,-,-,-,BBB (L),NR,-,-,Fixed,Swaps,-,320,3.65%,3.68%,99.99966
"Apr 28, 2021",D,USD,35.806,2.99,-,-,-,BB (H),NR,-,-,Fixed,Swaps,-,500,5.41%,5.48%,99.98211
"Mar 2, 2021",A,USD,264.705,2,-,-,-,AA (L),A,31.24%,-,Fixed,Swaps,110-120,100,1.21%,1.22%,99.98439
"Mar 2, 2021",B,USD,45.077,2,-,-,-,A (L),BBB,19.49%,-,Fixed,Swaps,170-185,155,1.76%,1.77%,99.99116
"Mar 2, 2021",C,USD,41.241,2,-,-,-,BBB (L),NR,8.74%,-,Fixed,Swaps,350-375,325,3.44%,3.47%,99.98811
"Mar 2, 2021",D,USD,23.977,2,-,-,-,BB (H),NR,2.49%,-,Fixed,Swaps,550-575,525,5.40%,5.47%,99.98172
"Nov 2, 2020",A,USD,158.404,0.61,-,-,-,-,A-,22.94%,-,Fixed,EDSF,-,200,2.20%,2.22%,99.99463
"Nov 2, 2020",B,USD,24.59,1.64,-,-,-,-,BBB-,10.94%,-,Fixed,EDSF,-,325,3.45%,3.48%,99.9919
"Nov 2, 2020",C,USD,5,1.77,-,-,-,-,BB,8.50%,-,Fixed,EDSF,-,550,5.66%,5.74%,99.98689
"Jul 25, 2019",A,USD,205.882,3.02,-,-,-,-,A+,-,-,Fixed,Swaps,-,130,3.08%,3.11%,99.97953
"Jul 25, 2019",B,USD,44.118,3.02,-,-,-,-,BBB+,-,-,Fixed,Swaps,-,210,3.87%,3.91%,99.98399
"Jul 25, 2019",C,USD,14.706,3.02,-,-,-,-,BB,-,-,-,-,-,-,-,-,Retained
"Jul 25, 2019",D,USD,14.706,3.02,-,-,-,-,B,-,-,-,-,-,-,-,-,Retained
"Nov 30, 2018",A,USD,128.949,3,-,-,-,-,A+,-,-,Fixed,Swaps,-,120,4.15%,4.19%,99.99457
"Nov 30, 2018",B,USD,27.632,3,-,-,-,-,BBB+,-,-,Fixed,Swaps,-,190,4.83%,4.89%,99.97499
"Nov 30, 2018",C,USD,9.211,3,-,-,-,-,BB,-,-,Fixed,Swaps,-,280,5.71%,5.79%,99.97404
"Nov 30, 2018",D,USD,9.21,3,-,-,-,-,B,-,-,Fixed,Swaps,-,430,7.17%,7.29%,99.97368
"Oct 12, 2018",A,USD,202.635,2.96,-,-,-,-,A+,-,-,Fixed,Swaps,105-110,105,4.10%,4.14%,99.9836
"Oct 12, 2018",B,USD,43.421,2.96,-,-,-,-,BBB+,-,-,Fixed,Swaps,155-160,155,4.59%,4.64%,99.98074
"Oct 12, 2018",C,USD,14.472,2.96,-,-,-,-,BB,-,-,Fixed,Swaps,245-250,250,5.52%,5.59%,99.98015
"Oct 12, 2018",D,USD,14.472,2.96,-,-,-,-,B,-,-,Fixed,Swaps,380,380,6.79%,6.89%,99.98772
"Jun 28, 2018",A,USD,165.79,3,-,-,-,-,A+,-,-,Fixed,Swaps,-,110,3.91%,3.95%,99.98887
"Jun 28, 2018",B,USD,35.527,3,-,-,-,-,BBB+,-,-,Fixed,Swaps,-,170,4.50%,4.55%,99.99013
"Jun 28, 2018",C,USD,11.842,3,-,-,-,-,BB,-,-,Fixed,Swaps,-,265,5.43%,5.50%,99.9887
"Jun 28, 2018",D,USD,11.842,3,-,-,-,-,B,-,-,Fixed,Swaps,-,-,-,-,Retained
"Feb 22, 2018",A,USD,155.558,3,-,-,-,-,A+,-,-,Fixed,Swaps,100-110,100,3.61%,3.65%,99.97164
