Date,CLASS,CCY,SZE(M),WAL,MO,SP,FI,DR,KR,C/E,LTV,TYPE,BNCH,GDNC,SPRD,CPN,YLD,PRICE
"Oct 5, 2022",A,USD,189.333,0.84,A2,-,-,-,-,40.50%,-,Fixed,I-Curve,-,325,-,7.36%,99.81273
"Oct 5, 2022",B,USD,37.867,2.56,Baa2,-,-,-,-,28.50%,-,Fixed,I-Curve,-,-,-,-,-
"Oct 5, 2022",C,USD,31.556,3.31,Ba3,-,-,-,-,18.50%,-,Fixed,I-Curve,-,-,-,-,-
"Aug 16, 2022",A,USD,152.185,1.61,A3,-,-,-,-,-,-,Fixed,I-Curve,-,280,5.98%,6.06%,99.99496
"Aug 16, 2022",B,USD,26.856,3.86,Ba2,-,-,-,-,-,-,Fixed,I-Curve,-,575,8.68%,8.85%,99.97504
"May 26, 2022",A,USD,365.638,1.08,A1,-,-,-,A-,-,-,Fixed,I-Curve,265a,280,4.37%,4.82%,99.57982
"May 26, 2022",B,USD,72.738,2.8,A3,-,-,-,NR,-,-,Fixed,I-Curve,400a,400,6.10%,6.61%,98.91529
"May 26, 2022",C,USD,106.834,3.71,Ba3,-,-,-,NR,-,-,Fixed,YLD,550-570,-,8.43%,8.75%,99.47659
"May 3, 2022",A,USD,112.026,1.57,-,-,-,-,BBB-,-,-,Fixed,YLD,-,-,4.25%,4.88%,99.14517
"Apr 8, 2022",A,USD,83.384,1.66,-,-,-,-,BBB-,30.00%,-,Fixed,YLD,-,-,4.30%,4.30%,100
"Mar 29, 2022",A,USD,320.628,1.33,A2,-,-,A,A-,-,-,Fixed,EDSF,-,150,3.12%,3.80%,99.17325
"Mar 29, 2022",B,USD,55.159,3.21,Baa3,-,-,BBB,BBB-,-,-,Fixed,Swaps,-,260,4.48%,5.29%,97.79301
"Mar 29, 2022",C,USD,59.693,3.83,NR,-,-,NR,BB-,-,-,Fixed,Swaps,-,450,5.71%,7.15%,95.51438
"Mar 11, 2022",A,USD,102.342,1.71,-,-,-,-,BBB-,32.00%,-,Fixed,YLD,-,-,3.80%,3.80%,100
"Jan 20, 2022",A,USD,86.166,1.72,-,-,-,-,BBB-,30.00%,-,Fixed,YLD,-,-,2.60%,2.60%,100
"Dec 1, 2021",A,USD,186.085,1.84,-,-,-,-,BBB-,30.00%,-,Fixed,YLD,-,-,2.25%,2.25%,100
"Nov 17, 2021",A,USD,398.562,1.32,A3,-,-,A,A-,-,-,Fixed,EDSF,100a,100,1.31%,1.48%,99.78771
"Nov 17, 2021",B,USD,66.779,3.26,NR,-,-,BBB (L),BBB-,-,-,Fixed,Swaps,175a,175,2.49%,2.85%,98.93941
"Nov 17, 2021",C,USD,56.162,3.81,NR,-,-,NR,BB-,-,-,Fixed,Swaps,300a,300,4.15%,4.20%,99.96803
