Date,CLASS,CCY,SZE(M),WAL,MO,SP,FI,DR,KR,C/E,LTV,TYPE,BNCH,GDNC,SPRD,CPN,YLD,PRICE
"Sep 8, 2022",A,USD,202.81,1.91,-,-,-,AAA,-,-,-,Fixed,I-Curve,225-235,215,4.30%,5.65%,97.6802
"Sep 8, 2022",B,USD,13.78,-,-,-,-,AA,-,-,-,Fixed,I-Curve,275a,290,4.64%,6.40%,96.5669
"Sep 8, 2022",C,USD,13.39,-,-,-,-,A,-,-,-,Fixed,I-Curve,325a,330,4.89%,6.80%,96.21589
"Sep 8, 2022",D,USD,9.1,2.25,-,-,-,BBB,-,-,-,Fixed,I-Curve,450a,450,5.53%,8.00%,95.18761
"Sep 8, 2022",E,USD,10.92,2.25,-,-,-,BB,-,-,-,Fixed,I-Curve,700a,700,8.04%,10.50%,95.52063
"Jun 16, 2022",A,USD,356,1.05,-,-,-,AAA,-,-,-,Fixed,I-Curve,-,275,4.55%,5.65%,98.96079
"Jun 16, 2022",B,USD,15.45,3.19,-,-,-,BBB,-,-,-,Fixed,I-Curve,-,-,-,-,-
"Apr 27, 2022",A,USD,405.62,2.28,-,-,-,AAA,-,-,-,Fixed,I-Curve,175a,170,4.30%,4.34%,99.9888
"Apr 27, 2022",B,USD,27.56,2.58,-,-,-,AA,-,-,-,Fixed,I-Curve,200a,200,4.64%,4.69%,99.97876
"Apr 27, 2022",C,USD,26.78,2.61,-,-,-,A,-,-,-,Fixed,I-Curve,225a,225,4.89%,4.95%,99.97835
"Apr 27, 2022",D,USD,18.2,2.61,-,-,-,BBB,-,-,-,Fixed,I-Curve,290a,290,5.53%,5.60%,99.98735
"Apr 27, 2022",E,USD,21.84,2.61,-,-,-,BB,-,-,-,Fixed,I-Curve,550a,550,8.04%,8.20%,99.94256
"Feb 1, 2022",A,USD,366.548,0.8,-,-,-,AA (L),-,-,-,Fixed,EDSF,-,100,1.75%,1.76%,99.99374
"Nov 1, 2021",A,USD,247,1.23,-,-,-,AA,-,-,-,Fixed,-,-,-,-,-,99.93333
"Jul 27, 2021",A,USD,418.75,2.3,-,-,-,AA,-,-,-,Fixed,Swaps,70-75,70,1.03%,1.03%,99.99584
"Jul 27, 2021",B,USD,28,2.65,-,-,-,A,-,-,-,Fixed,Swaps,85-90,85,1.24%,1.25%,99.97703
"Jul 27, 2021",C,USD,19.75,2.7,-,-,-,BBB,-,-,-,Fixed,Swaps,115-125,100,1.40%,1.41%,99.97898
"Jul 27, 2021",D,USD,22.5,2.7,-,-,-,BB,-,-,-,Fixed,Swaps,230-240,215,2.54%,2.56%,99.97732
"Jul 27, 2021",E,USD,11,2.7,-,-,-,B,-,-,-,Fixed,Swaps,440-450,425,4.61%,4.66%,99.97901
"Apr 26, 2021",A,USD,320,1.35,-,-,-,AA,-,-,-,Fixed,EDSF,-,85,1.07%,1.08%,99.99652
"Feb 9, 2021",A,USD,407.2,1.78,-,-,-,AA,-,-,-,Fixed,EDSF,75-80,70,0.88%,0.89%,99.98523
"Feb 9, 2021",B,USD,30.27,2.15,-,-,-,A,-,-,-,Fixed,Swaps,100a,85,1.06%,1.07%,99.99219
"Feb 9, 2021",C,USD,21.01,2.23,-,-,-,BBB,-,-,-,Fixed,Swaps,165-175,145,1.66%,1.67%,99.98407
"Feb 9, 2021",D,USD,22.51,2.24,-,-,-,BB,-,-,-,Fixed,Swaps,360-375,330,3.49%,3.52%,99.98119
"Feb 9, 2021",E,USD,19.01,2.24,-,-,-,B,-,-,-,Fixed,Swaps,600-625,550,5.65%,5.72%,99.9836
"Oct 13, 2020",A,USD,375,1.24,-,-,-,A,-,-,-,-,-,-,172,1.90%,1.93%,99.99
"Jul 28, 2020",A,USD,329.96,1.85,-,-,-,A,-,-,-,Fixed,EDSF,200a,190,2.10%,2.12%,99.98775
"Jul 28, 2020",B,USD,16.2,2.19,-,-,-,BBB,-,-,-,Fixed,Swaps,350-365,335,3.54%,3.57%,99.99609
"Jul 28, 2020",C,USD,22.13,2.19,-,-,-,BB,-,-,-,Fixed,Swaps,625-640,610,6.23%,6.32%,99.98629
"Jul 1, 2020",A,USD,150,-,-,-,-,-,-,-,-,Fixed,-,-,-,3.46%,-,-
