Date,Sum SZE(M),BNCH-A,C/E-A,CCY-A,CPN-A,DR-A,FI-A,GDNC-A,KR-A,LTV-A,MO-A,PRICE-A,SP-A,SPRD-A,SZE(M)-A,TYPE-A,WAL-A,YLD-A,BNCH-B,C/E-B,CCY-B,CPN-B,DR-B,FI-B,GDNC-B,KR-B,LTV-B,MO-B,PRICE-B,SP-B,SPRD-B,SZE(M)-B,TYPE-B,WAL-B,YLD-B,BNCH-C,C/E-C,CCY-C,CPN-C,DR-C,FI-C,GDNC-C,KR-C,LTV-C,MO-C,PRICE-C,SP-C,SPRD-C,SZE(M)-C,TYPE-C,WAL-C,YLD-C,BNCH-D,C/E-D,CCY-D,CPN-D,DR-D,FI-D,GDNC-D,KR-D,LTV-D,MO-D,PRICE-D,SP-D,SPRD-D,SZE(M)-D,TYPE-D,WAL-D,YLD-D,BNCH-E,C/E-E,CCY-E,CPN-E,DR-E,FI-E,GDNC-E,KR-E,LTV-E,MO-E,PRICE-E,SP-E,SPRD-E,SZE(M)-E,TYPE-E,WAL-E,YLD-E
2020-07-01,150.0,-,-,USD,3.46%,-,-,-,-,-,-,-,-,-,150.0,Fixed,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-28,368.28999999999996,EDSF,-,USD,2.10%,A,-,200a,-,-,-,99.98775,-,190,329.96,Fixed,1.85,2.12%,Swaps,-,USD,3.54%,BBB,-,350-365,-,-,-,99.99609,-,335,16.2,Fixed,2.19,3.57%,Swaps,-,USD,6.23%,BB,-,625-640,-,-,-,99.98629,-,610,22.13,Fixed,2.19,6.32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-13,375.0,-,-,USD,1.90%,A,-,-,-,-,-,99.99,-,172,375.0,-,1.24,1.93%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,500.0,EDSF,-,USD,0.88%,AA,-,75-80,-,-,-,99.98523,-,70,407.2,Fixed,1.78,0.89%,Swaps,-,USD,1.06%,A,-,100a,-,-,-,99.99219,-,85,30.27,Fixed,2.15,1.07%,Swaps,-,USD,1.66%,BBB,-,165-175,-,-,-,99.98407,-,145,21.01,Fixed,2.23,1.67%,Swaps,-,USD,3.49%,BB,-,360-375,-,-,-,99.98119,-,330,22.51,Fixed,2.24,3.52%,Swaps,-,USD,5.65%,B,-,600-625,-,-,-,99.9836,-,550,19.01,Fixed,2.24,5.72%
2021-04-26,320.0,EDSF,-,USD,1.07%,AA,-,-,-,-,-,99.99652,-,85,320.0,Fixed,1.35,1.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-27,500.0,Swaps,-,USD,1.03%,AA,-,70-75,-,-,-,99.99584,-,70,418.75,Fixed,2.3,1.03%,Swaps,-,USD,1.24%,A,-,85-90,-,-,-,99.97703,-,85,28.0,Fixed,2.65,1.25%,Swaps,-,USD,1.40%,BBB,-,115-125,-,-,-,99.97898,-,100,19.75,Fixed,2.7,1.41%,Swaps,-,USD,2.54%,BB,-,230-240,-,-,-,99.97732,-,215,22.5,Fixed,2.7,2.56%,Swaps,-,USD,4.61%,B,-,440-450,-,-,-,99.97901,-,425,11.0,Fixed,2.7,4.66%
2021-11-01,247.0,-,-,USD,-,AA,-,-,-,-,-,99.93333,-,-,247.0,Fixed,1.23,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01,366.548,EDSF,-,USD,1.75%,AA (L),-,-,-,-,-,99.99374,-,100,366.548,Fixed,0.8,1.76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-27,500.0,I-Curve,-,USD,4.30%,AAA,-,175a,-,-,-,99.9888,-,170,405.62,Fixed,2.28,4.34%,I-Curve,-,USD,4.64%,AA,-,200a,-,-,-,99.97876,-,200,27.56,Fixed,2.58,4.69%,I-Curve,-,USD,4.89%,A,-,225a,-,-,-,99.97835,-,225,26.78,Fixed,2.61,4.95%,I-Curve,-,USD,5.53%,BBB,-,290a,-,-,-,99.98735,-,290,18.2,Fixed,2.61,5.60%,I-Curve,-,USD,8.04%,BB,-,550a,-,-,-,99.94256,-,550,21.84,Fixed,2.61,8.20%
2022-06-16,371.45,I-Curve,-,USD,4.55%,AAA,-,-,-,-,-,98.96079,-,275,356.0,Fixed,1.05,5.65%,I-Curve,-,USD,-,BBB,-,-,-,-,-,-,-,-,15.45,Fixed,3.19,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-08,250.0,I-Curve,-,USD,4.30%,AAA,-,225-235,-,-,-,97.6802,-,215,202.81,Fixed,1.91,5.65%,I-Curve,-,USD,4.64%,AA,-,275a,-,-,-,96.5669,-,290,13.78,Fixed,-,6.40%,I-Curve,-,USD,4.89%,A,-,325a,-,-,-,96.21589,-,330,13.39,Fixed,-,6.80%,I-Curve,-,USD,5.53%,BBB,-,450a,-,-,-,95.18761,-,450,9.1,Fixed,2.25,8.00%,I-Curve,-,USD,8.04%,BB,-,700a,-,-,-,95.52063,-,700,10.92,Fixed,2.25,10.50%
