Date,Sum SZE(M),BNCH-A,C/E-A,CCY-A,CPN-A,DR-A,FI-A,GDNC-A,KR-A,LTV-A,MO-A,PRICE-A,SP-A,SPRD-A,SZE(M)-A,TYPE-A,WAL-A,YLD-A,BNCH-B,C/E-B,CCY-B,CPN-B,DR-B,FI-B,GDNC-B,KR-B,LTV-B,MO-B,PRICE-B,SP-B,SPRD-B,SZE(M)-B,TYPE-B,WAL-B,YLD-B,BNCH-C,C/E-C,CCY-C,CPN-C,DR-C,FI-C,GDNC-C,KR-C,LTV-C,MO-C,PRICE-C,SP-C,SPRD-C,SZE(M)-C,TYPE-C,WAL-C,YLD-C,BNCH-D,C/E-D,CCY-D,CPN-D,DR-D,FI-D,GDNC-D,KR-D,LTV-D,MO-D,PRICE-D,SP-D,SPRD-D,SZE(M)-D,TYPE-D,WAL-D,YLD-D
2015-07-08,125.0,-,-,USD,3.00%,-,-,-,-,-,-,-,-,-,102.94,Fixed,2.5,-,-,-,USD,5.00%,-,-,-,-,-,-,-,-,-,22.06,Fixed,2.5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-12,124.836,YLD,-,USD,4.70%,-,-,4.50-75%,A,-,-,99.9921,-,-,102.806,Fixed,2.05,4.75%,YLD,-,USD,6.41%,-,-,6.25-50%,BBB,-,-,99.9915,-,-,22.03,Fixed,2.05,6.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-22,150.0,Swaps,-,USD,3.71%,-,-,-,A,-,-,99.98954,-,285,123.529,Fixed,2.0,3.72%,Swaps,-,USD,5.18%,-,-,-,BBB,-,-,99.98476,-,435,26.471,Fixed,2.0,5.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-14,150.0,Swaps,-,USD,3.28%,-,-,235a,A,-,-,-,-,221,123.53,Fixed,2.05,-,Swaps,-,USD,4.85%,-,-,400a,BBB,-,-,-,-,378,26.47,Fixed,2.05,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-01,160.00099999999998,Swaps,-,USD,3.23%,-,-,160-170,A,-,-,99.9854,-,160,131.766,Fixed,3.0,3.26%,Swaps,-,USD,3.97%,-,-,250-275,BBB,-,-,99.9888,-,235,28.235,Fixed,3.0,4.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,200.0,Swaps,-,USD,3.22%,-,-,140-150,A+,-,-,99.97384,-,140,155.55,Fixed,2.99,3.25%,Swaps,-,USD,4.26%,-,-,245a,BBB+,-,-,99.99176,-,245,33.34,Fixed,2.99,4.30%,Swaps,-,USD,5.29%,-,-,360-375,BB,-,-,99.99372,-,350,11.11,Fixed,2.99,5.35%,,,,,,,,,,,,,,,,,
2018-02-22,200.004,Swaps,-,USD,3.61%,-,-,100-110,A+,-,-,99.97164,-,100,155.558,Fixed,3.0,3.65%,Swaps,-,USD,4.45%,-,-,185-195,BBB+,-,-,99.98365,-,185,33.335,Fixed,3.0,4.50%,Swaps,-,USD,5.09%,-,-,260-270,BB,-,-,99.99152,-,250,11.111,Fixed,3.0,5.15%,,,,,,,,,,,,,,,,,
2018-06-28,225.001,Swaps,-,USD,3.91%,-,-,-,A+,-,-,99.98887,-,110,165.79,Fixed,3.0,3.95%,Swaps,-,USD,4.50%,-,-,-,BBB+,-,-,99.99013,-,170,35.527,Fixed,3.0,4.55%,Swaps,-,USD,5.43%,-,-,-,BB,-,-,99.9887,-,265,11.842,Fixed,3.0,5.50%,Swaps,-,USD,-,-,-,-,B,-,-,Retained,-,-,11.842,Fixed,3.0,-
2018-10-12,275.0,Swaps,-,USD,4.10%,-,-,105-110,A+,-,-,99.9836,-,105,202.635,Fixed,2.96,4.14%,Swaps,-,USD,4.59%,-,-,155-160,BBB+,-,-,99.98074,-,155,43.421,Fixed,2.96,4.64%,Swaps,-,USD,5.52%,-,-,245-250,BB,-,-,99.98015,-,250,14.472,Fixed,2.96,5.59%,Swaps,-,USD,6.79%,-,-,380,B,-,-,99.98772,-,380,14.472,Fixed,2.96,6.89%
2018-11-30,175.002,Swaps,-,USD,4.15%,-,-,-,A+,-,-,99.99457,-,120,128.949,Fixed,3.0,4.19%,Swaps,-,USD,4.83%,-,-,-,BBB+,-,-,99.97499,-,190,27.632,Fixed,3.0,4.89%,Swaps,-,USD,5.71%,-,-,-,BB,-,-,99.97404,-,280,9.211,Fixed,3.0,5.79%,Swaps,-,USD,7.17%,-,-,-,B,-,-,99.97368,-,430,9.21,Fixed,3.0,7.29%
2019-07-25,279.41200000000003,Swaps,-,USD,3.08%,-,-,-,A+,-,-,99.97953,-,130,205.882,Fixed,3.02,3.11%,Swaps,-,USD,3.87%,-,-,-,BBB+,-,-,99.98399,-,210,44.118,Fixed,3.02,3.91%,-,-,USD,-,-,-,-,BB,-,-,Retained,-,-,14.706,-,3.02,-,-,-,USD,-,-,-,-,B,-,-,Retained,-,-,14.706,-,3.02,-
2020-11-02,187.994,EDSF,22.94%,USD,2.20%,-,-,-,A-,-,-,99.99463,-,200,158.404,Fixed,0.61,2.22%,EDSF,10.94%,USD,3.45%,-,-,-,BBB-,-,-,99.9919,-,325,24.59,Fixed,1.64,3.48%,EDSF,8.50%,USD,5.66%,-,-,-,BB,-,-,99.98689,-,550,5.0,Fixed,1.77,5.74%,,,,,,,,,,,,,,,,,
2021-03-02,375.0,Swaps,31.24%,USD,1.21%,AA (L),-,110-120,A,-,-,99.98439,-,100,264.705,Fixed,2.0,1.22%,Swaps,19.49%,USD,1.76%,A (L),-,170-185,BBB,-,-,99.99116,-,155,45.077,Fixed,2.0,1.77%,Swaps,8.74%,USD,3.44%,BBB (L),-,350-375,NR,-,-,99.98811,-,325,41.241,Fixed,2.0,3.47%,Swaps,2.49%,USD,5.40%,BB (H),-,550-575,NR,-,-,99.98172,-,525,23.977,Fixed,2.0,5.47%
