Date,CLASS,CCY,SZE(M),WAL,MO,SP,FI,DR,KR,C/E,LTV,TYPE,BNCH,GDNC,SPRD,CPN,YLD,PRICE
"Nov 14, 2022",A,USD,440,0.68,Aaa,-,-,AAA,AAA,26.98%,-,Fixed,I-Curve,-,170,6.21%,6.29%,99.99767
"Dec 2, 2021",A,USD,255,1.53,-,-,-,-,-,15.00%,-,Fixed,YLD,-,-,1.50%,1.51%,-
"Dec 2, 2021",R-1,USD,0.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Retained
"Dec 2, 2021",R-2,USD,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Retained
"Sep 30, 2021",A,USD,187,1.16,-,AAA,-,AAA,AAA,-,-,Fixed,EDSF,35a,30,0.49%,0.50%,99.9925
"Sep 30, 2021",B,USD,13.2,2.92,-,AA,-,AA,AA+,-,-,Fixed,Swaps,70-75,65,1.30%,1.30%,99.99859
"Sep 30, 2021",C,USD,16.1,3.42,-,A,-,A,A+,-,-,Fixed,Swaps,90-100,85,1.61%,1.63%,99.96825
"Sep 30, 2021",D,USD,16.2,3.55,-,NR,-,BBB,BBB+,-,-,Fixed,Swaps,135-145,125,2.04%,2.06%,99.97845
"Sep 3, 2021",A,USD,255,1.52,-,-,-,-,-,15.00%,-,Fixed,-,-,-,1.25%,1.25%,-
"Sep 3, 2021",R-1,USD,0.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Retained
"Sep 3, 2021",R-2,USD,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Retained
"Jun 8, 2021",PT-1,USD,152.539,1.54,-,-,-,-,-,-,-,Fixed,EDSF,-,251,-,2.70%,-
"Jun 8, 2021",PT-2,USD,47.487,1.54,-,-,-,-,-,-,-,Fixed,EDSF,-,251,-,2.70%,-
"Feb 7, 2020",A,USD,284.24,1.28,-,AAA,-,AAA,AAA,-,-,Fixed,EDSF,50-55,50,2.02%,2.03%,99.99689
"Feb 7, 2020",B,USD,20.14,3.17,-,AA,-,AA,AA+,-,-,Fixed,Swaps,85 a,85,2.25%,2.27%,99.9775
"Feb 7, 2020",C,USD,31.54,3.67,-,A,-,A,A+,-,-,Fixed,Swaps,110-115,110,2.50%,2.51%,99.9967
"Feb 7, 2020",D,USD,17.48,3.76,-,NR,-,BBB,BBB+,-,-,Fixed,Swaps,165-170,155,2.94%,2.96%,99.98262
"Sep 17, 2019",A,USD,360,1.43,-,AAA,-,AAA,AAA,-,-,Fixed,EDSF,65a,65,2.45%,2.47%,99.98687
"Sep 17, 2019",B,USD,29.5,3.42,-,AA,-,AA,AA+,-,-,Fixed,Swaps,95-100,95,2.56%,2.58%,99.97953
"Sep 17, 2019",C,USD,47.5,4,-,A,-,A,A+,-,-,Fixed,Swaps,125a,125,2.84%,2.86%,99.98449
"Sep 17, 2019",D,USD,28,4.18,-,NR,-,BBB,BBB+,-,-,Fixed,Swaps,190a,190,3.48%,3.51%,99.98203
"May 21, 2019",A,USD,490,1.47,-,AAA,-,AAA,AAA,-,-,Fixed,EDSF,55-60,55,2.90%,2.92%,99.99209
"May 21, 2019",B,USD,36.3,3.44,-,AA,-,AA,AA+,-,-,Fixed,Swaps,85-90,85,3.06%,3.09%,99.97899
"May 21, 2019",C,USD,72.9,4.05,-,A,-,A,A+,-,-,Fixed,Swaps,110-120,115,3.35%,3.38%,99.98645
"May 21, 2019",D,USD,41.5,4.3,-,NR,-,BBB,BBB+,-,-,Fixed,Swaps,110-120,170,3.89%,3.93%,99.97095
"Apr 18, 2019",A,USD,414,1.42,-,AAA,-,AAA,AAA,-,-,Fixed,EDSF,-,50,3.01%,3.04%,99.9874
"Apr 18, 2019",B,USD,36,3.33,-,AA,-,AA,AA+,-,-,Fixed,Swaps,-,85,3.22%,3.25%,99.97373
"Apr 18, 2019",C,USD,54,3.94,-,A,-,A,A+,-,-,Fixed,Swaps,-,110,3.46%,3.49%,99.98887
"Apr 18, 2019",D,USD,45,4.22,-,NR,-,BBB,BBB,-,-,Fixed,Swaps,-,185,4.20%,4.24%,99.99154
"Feb 12, 2019",A,USD,405.2,1.4,-,AAA,-,AAA,AAA,-,-,Fixed,EDSF,60a,60,3.24%,3.26%,99.99977
"Feb 12, 2019",B,USD,45.4,3.32,-,AA,-,AA,AA+,-,-,Fixed,Swaps,95-100,90,3.45%,3.48%,99.98404
