Date,1mo CPR,Gross Coupon (Derived),Annualized Net Loss Rate,Delinq 30+,Life CDR,Open,High,Low,Close,Adj Close,Volume,adj_1,adj_7,adj_30,adj_90,adj_1_change,adj_7_change,adj_30_change,adj_90_change,avg_adj_1_change,avg_adj_7_change,avg_adj_30_change,avg_adj_90_change,d1_Vol,d7_Vol,d30_Vol,d90_Vol,d1_BenchVol,d7_BenchVol,d30_BenchVol,d90_BenchVol,d1_ExcessVol,d7_ExcessVol,d30_ExcessVol,d90_ExcessVol
2019-10-08 00:00:00,OPF1319A,32.24,0.26,1.68,0.25,15.29,15.5,15.001,15.23,15.23,159300,15.55,15.63,17.0,23.389999,0.021011162179908,0.003209242618742,0.0526315789473685,0.0313050705467372,0.0231638089380552,0.0137997432605905,0.0236002429699503,0.0249195950880274,0.0004414689361503,1.029923818595001e-05,0.002770083102493,0.0009800074419361,0.0005365620445187,0.0001904329140582,0.0005569714682406,0.0006209862193512,-9.509310836832964e-05,-0.0001801336758722,0.0022131116342523,0.0003590212225849
2019-11-08 00:00:00,OPF1319A,32.16,0.87,2.59,0.4,16.99,17.52,16.700001,17.16,17.16,92900,18.280001,19.690001,19.99,20.65,0.0652681235431233,0.0186239524055871,-0.0044820717131474,0.0102739231764226,0.0204389398203422,-0.0074737380829207,-0.0053394092105628,0.0017432964298402,0.0042599279508404,0.0003468516032055,2.0088966841796072e-05,0.000105553497435,0.0004177502609795,5.585676093209919e-05,2.850929071784286e-05,3.0390824422935874e-06,0.0038421776898608,0.0002909948422734,-8.420323876046788e-06,0.0001025144149927
2019-12-08 00:00:00,OPF1319A,32.05,5.35,3.02,1.39,20.27,20.620001,19.985001,20.4,20.4,102100,20.08,20.25,22.68,13.65,-0.0156862745098039,0.013006503251626,-0.0100392841553906,-0.0201005025125627,-0.0120674076082045,0.0080405306419544,-0.0177454220448546,-0.0692972058520731,0.0002460592079969,0.0001691691268345,0.0001007872263526,0.0004040302012575,0.0001456223263825,6.465013300420764e-05,0.00031490000355,0.0048021027389045,0.0001004368816143,0.0001045189938303,-0.0002141127771973,-0.004398072537647
2020-01-08 00:00:00,OPF1319A,31.96,8.68,3.61,2.58,23.690001,23.77,22.99,23.09,23.09,77000,22.91,22.950001,21.5,7.65,-0.0077955825032481,-0.0328697429414243,0.0391492972861626,0.0625,0.0065799958397421,-0.0148219682449057,0.0291261436596926,0.0010875870069605,6.077110656494791e-05,0.0010804200010353,0.0015326674780003,0.00390625,4.329634525102334e-05,0.0002196907426529,0.000848332244485,1.1828454977092987e-06,1.747476131392457e-05,0.0008607292583823,0.0006843352335152,0.0039050671545022
2020-02-08 00:00:00,OPF1319A,31.85,9.17,3.83,3.51,20.469999,21.716,20.1,20.690001,20.690001,25100,21.5,20.65,16.360001,6.25,0.0391492972861626,0.0102739231764226,-0.1389473157894736,-0.0384615384615384,0.0291261436596926,0.0017432964298402,-0.1108966598440545,-0.0529187124931805,0.0015326674780003,0.000105553497435,0.0193063565650997,0.0014792899408283,0.000848332244485,3.0390824422935874e-06,0.0122980691645679,0.0028003901319358,0.0006843352335152,0.0001025144149927,0.0070082874005317,-0.0013211001911075
2020-03-08 00:00:00,OPF1319A,31.75,9.47,3.63,4.25,19.700001,19.99,18.280001,19.110001,19.110001,72600,19.0,13.65,7.54,12.77,-0.0057562006407011,-0.0201005025125627,-0.044359949302915,-0.0251908396946565,0.0248996774574271,-0.0692972058520731,-0.0120276903874982,-0.0641418115999056,3.313384581600776e-05,0.0004040302012575,0.0019678051021571,0.0006345784045218,0.0006199939374839,0.0048021027389045,0.0001446653360575,0.0041141719953177,-0.0005868600916678,-0.004398072537647,0.0018231397660996,-0.0034795935907959
2020-04-08 00:00:00,OPF1319A,31.63,10.18,3.61,4.91,8.22,8.22,7.2,7.54,7.54,186600,7.65,6.48,6.89,12.86,0.0145888594164456,-0.0649350649350648,-0.0226950354609929,0.0007782101167315,0.0781899520962825,-0.0424144820696544,-0.0231122236128494,0.0052719175583657,0.0002128348190728,0.004216562658121,0.0005150646345757,6.056109857832549e-07,0.0061136686088189,0.001798988289237,0.0005341748803303,2.7793114742204565e-05,-0.0059008337897461,0.002417574368884,-1.911024575462826e-05,-2.718750375642131e-05
2020-05-08 00:00:00,OPF1319A,31.53,9.8,3.58,5.39,6.5,7.13,6.5,7.05,7.05,246300,6.89,6.84,13.1,14.345,-0.0226950354609929,0.1381031613976706,-0.0774647887323943,0.001046755059316,-0.0231122236128494,0.076556271130355,-0.0847542352398321,-0.0167748102792381,0.0005150646345757,0.019072483188031,0.0060007934933544,1.0956961542036426e-06,0.0005341748803303,0.0058608626493844,0.0071832803910887,0.0002813942599044,-1.911024575462826e-05,0.0132116205386466,-0.0011824868977343,-0.0002802985637502
2020-06-08 00:00:00,OPF1319A,31.45,10.83,3.52,5.88,13.56,15.49,13.56,15.15,15.15,280300,14.2,13.24,12.63,13.9,-0.0627062706270628,0.0359937402190924,-0.0284615384615384,-0.0028694404591104,-0.0522798916662967,0.0226350890334794,-0.0090006437077567,-0.0154627763417797,0.0039320763759544,0.0012955493349595,0.0008100591715976,8.233688548379702e-06,0.0027331870726397,0.0005123472555535,8.101158715398026e-05,0.0002390974521959,0.0011988893033147,0.0007832020794059,0.0007290475844436,-0.0002308637636475
2020-07-08 00:00:00,OPF1319A,31.36,11.81,3.26,6.37,12.71,13.09,12.71,13.0,13.0,77200,12.63,13.47,15.03,14.69,-0.0284615384615384,0.047433903576983,-0.0052945069490403,-0.0047425474254743,-0.0090006437077567,0.064335907301064,0.0166897631000654,-0.0116649540101348,0.0008100591715976,0.0022499752085505,2.803180383343603e-05,2.2491756082872907e-05,8.101158715398026e-05,0.0041391089682511,0.0002785481923363,0.0001360711520585,0.0007290475844436,-0.0018891337597005,-0.0002505163885028,-0.0001135793959756
2020-08-08 00:00:00,OPF1319A,31.31,11.42,3.17,6.76,16.610001,16.790001,14.9,15.03,15.03,125100,14.5,14.76,13.94,15.64,-0.0352628077178974,0.0278551532033426,0.0512820512820513,0.0371352785145888,0.0098508656445974,0.0265964955205902,0.0187240295935948,0.003469948315909,0.0012434656081494,0.0007759095599816,0.0026298487836949,0.001379028910356,9.703955394790936e-05,0.0007073735739767,0.0003505892842218,1.2040541315079703e-05,0.0011464260542014,6.853598600491291e-05,0.0022792594994731,0.001366988369041
2020-09-08 00:00:00,OPF1319A,31.25,9.96,3.13,7.0,12.41,13.42,12.32,13.26,13.26,115000,13.94,15.04,14.76,18.200001,0.0512820512820513,-0.0240103828682674,0.032167832167832,0.0167598324022346,0.0187240295935948,-0.0008490048215575,0.041474541083916,0.0172589395085535,0.0026298487836949,0.0005764984854807,0.0010347694263778,0.0002808919821509,0.0003505892842218,7.208091870278823e-07,0.0017201375581214,0.0002978709929599,0.0022792594994731,0.0005757776762937,-0.0006853681317436,-1.6979010808916128e-05
2020-10-08 00:00:00,OPF1319A,31.15,8.41,3.13,7.11,14.49,14.86,14.21,14.76,14.76,59500,14.69,14.45,15.08,17.459999,-0.0047425474254743,0.0104895104895104,0.020988490182803,-0.0223965273014262,-0.0116649540101348,-0.0065199506375976,0.0613748713144934,0.0028670721024628,2.2491756082872907e-05,0.0001100298303095,0.0004405167201536,0.0005016044351635,0.0001360711520585,4.250975631670935e-05,0.0037668748288706,8.22010244072046e-06,-0.0001135793959756,6.752007399283937e-05,-0.003326358108717,0.0004933843327228
2020-11-08 00:00:00,OPF1319A,31.07,9.34,3.17,7.25,15.69,16.370001,15.08,15.08,15.08,78000,15.64,17.4,18.200001,16.889999,0.0371352785145888,0.0444177671068426,0.0167598324022346,0.0,0.003469948315909,0.0303610574664648,0.0172589395085535,0.0196078431372549,0.001379028910356,0.0019729380347577,0.0002808919821509,0.0,1.2040541315079703e-05,0.0009217938104819,0.0002978709929599,0.0003844675124951,0.001366988369041,0.0010511442242757,-1.6979010808916128e-05,-0.0003844675124951
2020-12-08 00:00:00,OPF1319A,30.99,7.79,3.09,7.29,17.719999,18.0,17.67,17.91,17.91,101700,17.9,19.02,17.620001,22.309999,-0.0005583472920157,0.0421917808219178,-0.0334612726275371,-0.0044623382418562,-0.0194894191102554,0.0340755743838708,-0.0326457556771638,0.0220520374326119,3.1175169850126535e-07,0.0017801463689247,0.0011196567658543,1.991246258473228e-05,0.0003798374572551,0.0011611447695907,0.001065745363733,0.0004862923549293,-0.0003795257055566,0.000619001599334,5.391140212129093e-05,-0.0004663798923445
2021-01-08 00:00:00,OPF1319A,30.92,9.39,3.21,7.42,18.35,18.35,17.76,18.23,18.23,31900,17.620001,17.360001,17.35,20.75,-0.0334612726275371,-0.0169874858437145,0.0028902313809382,0.007770762506071,-0.0092472494703438,-0.0486496884849994,0.0330380626482375,0.020476649775742,0.0011196567658543,0.0002885746752904,8.353437435359934e-06,6.038474992575885e-05,8.551162276677369e-05,0.0023667921896874,0.0010915135835488,0.0004192931860383,0.0010341451430875,-0.002078217514397,-0.0010831601461135,-0.0003589084361126
2021-02-08 00:00:00,OPF1319A,30.88,8.49,2.97,7.48,17.02,17.76,17.014999,17.57,17.57,39900,17.299999,16.889999,21.85,19.83,-0.0153671599317017,0.0,0.0277516462841016,0.0040506329113922,0.0214206454333481,-0.0278027372010186,0.0548587330852006,-0.0222537653381798,0.0002361496043664,0.0,0.0007701538714778,1.6407626982853647e-05,0.0004588440507812,0.0007729921958689,0.0030094805957132,0.0004952300717267,-0.0002226944464147,-0.0007729921958689,-0.0022393267242353,-0.0004788224447439
2021-03-08 00:00:00,OPF1319A,30.85,6.6,2.73,7.45,18.99,19.940001,18.764999,19.58,19.58,79900,21.280001,22.41,21.26,20.469999,0.0868233401430031,0.0044823399588678,0.0114176974310182,0.0098667488899852,0.079181295108389,0.0612854198831044,-0.0024372034956038,0.0035852470379109,0.0075382923935876,2.0091371506863e-05,0.0001303638146262,9.735273365802416e-05,0.0062696774950417,0.0037559026902484,5.939960878983382e-06,1.285399632284888e-05,0.0012686148985458,-0.0037358113187415,0.0001244238537472,8.449873733517529e-05
2021-04-08 00:00:00,OPF1319A,30.81,8.09,2.32,7.52,21.139999,21.290001,19.92,21.26,21.26,65200,21.16,20.75,21.0,20.540001,-0.0047036688617122,0.007770762506071,-0.0366972035182203,-0.0101204337349397,0.0052547104883658,0.0151392238464987,-0.0432586880912345,-0.0584074063320546,2.2124500760640945e-05,6.038474992575885e-05,0.0013466847460576,0.0001024231789833,2.7611982316541545e-05,0.0002291960986743,0.0018713140953747,0.0034114251144377,-5.487481555900601e-06,-0.0001688113487486,-0.000524629349317,-0.0033090019354544
