,Date,Sum SZE(M),BNCH-A,C/E-A,CCY-A,CPN-A,DR-A,FI-A,GDNC-A,KR-A,LTV-A,MO-A,PRICE-A,SP-A,SPRD-A,SZE(M)-A,TYPE-A,WAL-A,YLD-A,BNCH-B,C/E-B,CCY-B,CPN-B,DR-B,FI-B,GDNC-B,KR-B,LTV-B,MO-B,PRICE-B,SP-B,SPRD-B,SZE(M)-B,TYPE-B,WAL-B,YLD-B,BNCH-C,C/E-C,CCY-C,CPN-C,DR-C,FI-C,GDNC-C,KR-C,LTV-C,MO-C,PRICE-C,SP-C,SPRD-C,SZE(M)-C,TYPE-C,WAL-C,YLD-C,BNCH-D,C/E-D,CCY-D,CPN-D,DR-D,FI-D,GDNC-D,KR-D,LTV-D,MO-D,PRICE-D,SP-D,SPRD-D,SZE(M)-D,TYPE-D,WAL-D,YLD-D,CPN-A-change,CPN-B-change,CPN-C-change,CPN-D-change,PRICE-A-change,PRICE-B-change,SPRD-A-change,SPRD-B-change,SPRD-C-change,SPRD-D-change,SZE(M)-A-change,SZE(M)-B-change,SZE(M)-C-change,SZE(M)-D-change,WAL-A-change,WAL-B-change,WAL-C-change,WAL-D-change,YLD-A-change,YLD-B-change,YLD-C-change,YLD-D-change
0,2015-07-08,125.0,-,-,USD,0.03,-,-,-,E,-,E,0.0,-,0.0,102.94,Fixed,2.5,0.0,-,-,USD,0.05,-,-,-,E,-,E,0.0,-,0.0,22.06,Fixed,2.5,0.0,,,,,,,,,,,0,,0.0,0.0,,0.0,,,,,,,,,,,,0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,2016-02-12,124.836,YLD,-,USD,0.047,-,-,4.50-75%,A,-,E,99.9921,-,0.0,102.806,Fixed,2.05,0.0475,YLD,-,USD,0.0641,-,-,6.25-50%,BBB,-,E,99.9915,-,0.0,22.03,Fixed,2.05,0.065,,,,,,,,,,,0,,0.0,0.0,,0.0,,,,,,,,,,,,0,,0.0,0.0,,0.0,,0.017,0.014100000000000001,,,99.9921,99.9915,0.0,0.0,0.0,0.0,-0.13400000000000034,-0.029999999999997584,0.0,0.0,-0.4500000000000002,-0.4500000000000002,0.0,0.0,0.0475,0.065,,
2,2016-06-22,150.0,Swaps,-,USD,0.0371,-,-,-,A,-,E,99.98954,-,285.0,123.529,Fixed,2.0,0.037200000000000004,Swaps,-,USD,0.0518,-,-,-,BBB,-,E,99.98476,-,435.0,26.471,Fixed,2.0,0.052199999999999996,,,,,,,,,,,0,,0.0,0.0,,0.0,,,,,,,,,,,,0,,0.0,0.0,,0.0,,-0.009899999999999999,-0.012300000000000005,,,-0.0025599999999883494,-0.00674000000000774,285.0,435.0,0.0,0.0,20.723,4.440999999999999,0.0,0.0,-0.04999999999999982,-0.04999999999999982,0.0,0.0,-0.010299999999999997,-0.012800000000000006,,
3,2016-10-14,150.0,Swaps,-,USD,0.032799999999999996,-,-,235a,A,-,E,0.0,-,221.0,123.53,Fixed,2.05,0.0,Swaps,-,USD,0.048499999999999995,-,-,400a,BBB,-,E,0.0,-,378.0,26.47,Fixed,2.05,0.0,,,,,,,,,,,0,,0.0,0.0,,0.0,,,,,,,,,,,,0,,0.0,0.0,,0.0,,-0.004300000000000005,-0.0033000000000000043,,,-99.98954,-99.98476,-64.0,-57.0,0.0,0.0,0.0010000000000047748,-0.0010000000000012221,0.0,0.0,0.04999999999999982,0.04999999999999982,0.0,0.0,-0.037200000000000004,-0.052199999999999996,,
4,2017-06-01,160.00099999999998,Swaps,-,USD,0.0323,-,-,160-170,A,-,E,99.9854,-,160.0,131.766,Fixed,3.0,0.0326,Swaps,-,USD,0.0397,-,-,250-275,BBB,-,E,99.9888,-,235.0,28.235,Fixed,3.0,0.0401,,,,,,,,,,,0,,0.0,0.0,,0.0,,,,,,,,,,,,0,,0.0,0.0,,0.0,,-0.0004999999999999935,-0.008799999999999995,,,99.9854,99.9888,-61.0,-143.0,0.0,0.0,8.23599999999999,1.7650000000000006,0.0,0.0,0.9500000000000002,0.9500000000000002,0.0,0.0,0.0326,0.0401,,
5,2017-10-04,200.0,Swaps,-,USD,0.0322,-,-,140-150,A+,-,E,99.97384,-,140.0,155.55,Fixed,2.99,0.0325,Swaps,-,USD,0.0426,-,-,245a,BBB+,-,E,99.99176,-,245.0,33.34,Fixed,2.99,0.043,Swaps,-,USD,0.0529,-,-,360-375,BB,-,E,99.99372,-,350.0,11.11,Fixed,2.99,0.0535,,,,,,,,,,,0,,0.0,0.0,,0.0,,-0.00010000000000000286,0.0029,,,-0.011560000000002901,0.002960000000001628,-20.0,10.0,350.0,0.0,23.78400000000002,5.105000000000004,11.11,0.0,-0.009999999999999787,-0.009999999999999787,2.99,0.0,-9.999999999999593e-05,0.0029,,
6,2018-02-22,200.004,Swaps,-,USD,0.0361,-,-,100-110,A+,-,E,99.97164,-,100.0,155.558,Fixed,3.0,0.0365,Swaps,-,USD,0.044500000000000005,-,-,185-195,BBB+,-,E,99.98365,-,185.0,33.335,Fixed,3.0,0.045,Swaps,-,USD,0.0509,-,-,260-270,BB,-,E,99.99152,-,250.0,11.111,Fixed,3.0,0.051500000000000004,,,,,,,,,,,0,,0.0,0.0,,0.0,,0.0039000000000000007,0.0019000000000000059,-0.0020000000000000018,,-0.002200000000001978,-0.00811000000000206,-40.0,-60.0,-100.0,0.0,0.007999999999981355,-0.005000000000002558,0.0010000000000012221,0.0,0.009999999999999787,0.009999999999999787,0.009999999999999787,0.0,0.003999999999999997,0.0020000000000000018,-0.001999999999999995,
7,2018-06-28,225.001,Swaps,-,USD,0.0391,-,-,-,A+,-,E,99.98887,-,110.0,165.79,Fixed,3.0,0.0395,Swaps,-,USD,0.045,-,-,-,BBB+,-,E,99.99013,-,170.0,35.527,Fixed,3.0,0.0455,Swaps,-,USD,0.054299999999999994,-,-,-,BB,-,E,99.9887,-,265.0,11.842,Fixed,3.0,0.055,Swaps,-,USD,0.0,-,-,-,B,-,E,Retained,-,0.0,11.842,Fixed,3.0,0.0,0.0030000000000000027,0.0004999999999999935,0.0033999999999999933,,0.01723000000001207,0.0064799999999962665,10.0,-15.0,15.0,0.0,10.232,2.192,0.7309999999999999,11.842,0.0,0.0,0.0,3.0,0.0030000000000000027,0.0005000000000000004,0.003499999999999996,
8,2018-10-12,275.0,Swaps,-,USD,0.040999999999999995,-,-,105-110,A+,-,E,99.9836,-,105.0,202.635,Fixed,2.96,0.0414,Swaps,-,USD,0.045899999999999996,-,-,155-160,BBB+,-,E,99.98074,-,155.0,43.421,Fixed,2.96,0.0464,Swaps,-,USD,0.0552,-,-,245-250,BB,-,E,99.98015,-,250.0,14.472,Fixed,2.96,0.0559,Swaps,-,USD,0.0679,-,-,380,B,-,E,99.98772,-,380.0,14.472,Fixed,2.96,0.0689,0.001899999999999992,0.000899999999999998,0.000900000000000005,0.0679,-0.0052700000000101,-0.009389999999996235,-5.0,-15.0,-15.0,380.0,36.845,7.893999999999998,2.629999999999999,2.629999999999999,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,0.001899999999999999,0.000899999999999998,0.000899999999999998,0.0689
9,2018-11-30,175.002,Swaps,-,USD,0.0415,-,-,-,A+,-,E,99.99457,-,120.0,128.949,Fixed,3.0,0.04190000000000001,Swaps,-,USD,0.0483,-,-,-,BBB+,-,E,99.97499,-,190.0,27.632,Fixed,3.0,0.0489,Swaps,-,USD,0.0571,-,-,-,BB,-,E,99.97404,-,280.0,9.211,Fixed,3.0,0.0579,Swaps,-,USD,0.0717,-,-,-,B,-,E,99.97368,-,430.0,9.21,Fixed,3.0,0.0729,0.0005000000000000074,0.0024000000000000063,0.001899999999999999,0.003799999999999998,0.010970000000000368,-0.005749999999991928,15.0,35.0,30.0,50.0,-73.68599999999998,-15.788999999999998,-5.260999999999999,-5.261999999999999,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.0005000000000000074,0.0025000000000000022,0.0020000000000000018,0.0040000000000000036
