,Graph,"Sep 15, 2022","Aug 15, 2022","Jul 15, 2022","Jun 15, 2022","May 15, 2022"
Current Deal Balance,Deal AFRM21A,"381,056,286.12","492,709,347.05","500,000,000.00","500,000,000.00","500,000,000.00"
Current Collat Balance,Deal AFRM21A,"393,005,718.18","505,545,120.53","498,187,517.96","501,015,902.68","495,620,656.50"
WALA,Deal AFRM21A,4.000000000,4.000000000,4.000000000,4.000000000,4.000000000
Gross Coupon,Deal AFRM21A,21.3915,20.9332,21.2631,21.6265,21.5237
Gross Coupon (Derived),Deal AFRM21A,21.3915,20.9332,21.2631,21.6265,21.5237
WAVG Amort Term,Deal AFRM21A,7,7,7,7,8
WAVG Rem Term,Deal AFRM21A,11,12,12,12,12
Number of Assets,Deal AFRM21A,"1,407,459","1,639,843","1,548,652","1,516,429","1,458,668"
Reported 1mo CPR (%),Deal AFRM21A,50.38,62.49,60.22,61.17,63.78
1mo CPR,Deal AFRM21A,34.66,37.75,31.92,32.45,35.44
3mo CPR,Deal AFRM21A,34.82,34.09,33.29,41.41,44.16
6mo CPR,Deal AFRM21A,38.20,39.33,37.96,38.78,38.29
12mo CPR,Deal AFRM21A,36.80,37.01,37.67,38.09,39.04
1mo CRR,Deal AFRM21A,28.18,32.44,26.32,26.82,30.62
3mo CRR,Deal AFRM21A,29.03,28.58,27.94,36.61,39.77
6mo CRR,Deal AFRM21A,32.92,34.41,32.93,33.84,33.49
12mo CRR,Deal AFRM21A,31.88,32.42,33.45,34.24,35.67
1mo CDR,Deal AFRM21A,8.78,7.61,7.41,7.51,6.76
3mo CDR,Deal AFRM21A,7.94,7.51,7.23,7.31,7.00
6mo CDR,Deal AFRM21A,7.62,7.26,7.27,7.22,7.00
12mo CDR,Deal AFRM21A,7.01,6.58,6.14,5.66,5.06
Life CDR,Deal AFRM21A,4.89,4.67,4.50,4.31,4.09
Delinq 30-59,Deal AFRM21A,1.91,1.49,1.31,1.24,1.00
Delinq 60-89,Deal AFRM21A,1.52,1.04,0.97,0.80,0.84
Delinq 90-119,Deal AFRM21A,1.23,0.84,0.73,0.76,0.75
Delinq 30+,Deal AFRM21A,4.69,3.40,3.02,2.80,2.59
Delinq 60+,Deal AFRM21A,2.78,1.90,1.71,1.56,1.58
Delinq 90+,Deal AFRM21A,1.26,0.87,0.75,0.76,0.75
Delinq 120+,Deal AFRM21A,0.03,0.02,0.02,0.01,0.00
Annualized Net Loss Rate,Deal AFRM21A,8.51,7.78,7.04,4.00,-
1mo Severity,Deal AFRM21A,92.90,98.55,91.67,51.37,-
3mo Severity,Deal AFRM21A,94.31,80.64,-,-,-
Collected Interest,Deal AFRM21A,"8,312,301.34","8,658,480.67","8,914,850.23","8,591,124.79","9,067,506.89"
Collected Principal,Deal AFRM21A,"102,455,606.05","107,359,538.36","101,929,700.53","100,756,267.36","103,866,934.21"
Current Princ Liquidation,Deal AFRM21A,"3,858,812.13","3,275,837.65","3,205,123.06","3,212,340.92","2,938,271.85"
Current Princ Recovery,Deal AFRM21A,"273,856.94","47,468.94","267,070.06","1,562,065.85",-
Current Princ Loss,Deal AFRM21A,"3,584,955.19","3,228,368.71","2,938,053.00","1,650,275.07",-
Current Repurchased Principal,Deal AFRM21A,"247,577.03","375,378.82","261,535.00","285,704.19","292,434.23"
OC Target,Deal AFRM21A,"10,005,002.50","10,005,002.50","250,125.06","250,125.06","250,125.06"
OC Deficiency,Deal AFRM21A,0.00,0.00,"-24,204,806.44","-11,013,919.52","-13,903,282.82"
OC Actual,Deal AFRM21A,"10,005,002.50","10,005,002.50","24,454,931.50","11,264,044.58","14,153,407.88"
Original Balance,Tranche A,"407,200,000.00","407,200,000.00","407,200,000.00","407,200,000.00","407,200,000.00"
Current Balance,Tranche A,"288,256,286.12","399,909,347.05","407,200,000.00","407,200,000.00","407,200,000.00"
Factor,Tranche A,0.7079,0.9821,1.0000,1.0000,1.0000
Coupon,Tranche A,0.8800,0.8800,0.8800,0.8800,0.8800
Reported Coupon,Tranche A,0.8800,0.8800,0.8800,0.8800,0.8800
Natural Credit Support,Tranche A,26.64,20.75,23.69,20.91,21.73
Credit Support (%),Tranche A,26.64,20.75,23.69,20.91,21.73
Credit Support,Tranche A,"104,227,291.34","104,383,271.57","117,490,710.85","104,258,591.55","107,125,917.55"
Reported Principal Payment,Tranche A,"111,653,060.93","7,290,652.95",0.00,0.00,0.00
Reported Interest Payment,Tranche A,"293,266.85","298,613.33","298,613.33","298,613.33","298,613.33"
Accum Writedown,Tranche A,0.00,0.00,0.00,0.00,0.00
Accum Interest Shortfall,Tranche A,0.00,0.00,0.00,0.00,0.00
Curr Ratings,Tranche A,AA,AA,AA,AA,AA
Ratings Order,Tranche A,DBRS,DBRS,DBRS,DBRS,DBRS
Original Balance,Tranche B,"30,270,000.00","30,270,000.00","30,270,000.00","30,270,000.00","30,270,000.00"
