,Graph,"Aug 08, 2022","Jul 08, 2022","Jun 08, 2022","May 08, 2022","Apr 08, 2022","Mar 08, 2022","Feb 08, 2022","Jan 08, 2022","Dec 08, 2021","Nov 08, 2021","Oct 08, 2021","Sep 08, 2021","Aug 08, 2021","Jul 08, 2021","Jun 08, 2021","May 08, 2021","Apr 08, 2021","Mar 08, 2021","Feb 08, 2021","Jan 08, 2021","Dec 08, 2020","Nov 08, 2020","Oct 08, 2020","Sep 08, 2020","Aug 08, 2020","Jul 08, 2020","Jun 08, 2020","May 08, 2020","Apr 08, 2020","Mar 08, 2020","Feb 08, 2020","Jan 08, 2020","Dec 08, 2019","Nov 08, 2019","Oct 08, 2019"
Current Deal Balance,OPF1319A,"279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00","279,412,000.00"
Current Collat Balance,OPF1319A,"294,124,766.97","294,120,629.70","294,122,413.21","294,119,608.10","294,118,051.65","294,121,964.66","294,119,480.22","294,120,354.33","294,120,433.97","294,119,872.05","294,119,781.94","294,123,932.33","294,118,569.41","294,122,089.71","294,118,420.43","294,118,509.63","294,120,328.05","294,120,136.63","294,120,527.01","294,120,065.63","294,120,712.52","294,118,113.78","294,118,985.72","294,118,553.31","294,122,389.68","294,123,292.96","294,121,101.48","294,122,179.33","294,119,531.24","294,119,626.97","294,118,193.84","294,119,776.22","294,118,963.51","294,119,563.60","294,117,895.00"
Principal Collection Account,OPF1319A,"4,595,202.97","5,180,443.44","4,575,702.70","5,166,371.40","5,714,407.47","5,029,433.45","5,248,516.90","5,189,777.97","5,932,763.10","5,981,948.19","5,882,510.92","6,178,822.06","6,729,130.85","6,128,974.29","6,667,201.81","6,122,434.87","5,474,936.51","5,571,069.89","5,935,448.73","5,116,844.48","5,728,194.50","5,675,861.83","5,539,785.03","5,732,053.31","4,888,955.18","4,873,576.25","5,188,759.14","4,136,926.43","4,885,893.88","5,524,925.90","5,599,007.59","5,693,050.18","6,805,145.63","7,613,165.02","7,492,388.21"
Interest Collection Account,OPF1319A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WALA,OPF1319A,39.233135000,38.233135000,37.233135000,36.233135000,35.233135000,34.233135000,33.233135000,32.233135000,31.233135000,30.233135000,29.233135000,28.233135000,27.233135000,26.233135000,25.233135000,24.233135000,23.233135000,22.233135000,21.233135000,20.233135000,19.233135000,18.233135000,17.233135000,16.233135000,15.233135000,14.233135000,13.233135000,12.233135000,11.233135000,10.233135000,9.233135000,8.233135000,7.233135000,6.233135000,5.233135000
Gross Coupon,OPF1319A,30.5000,30.5000,30.4900,30.5000,30.5100,30.5200,30.5500,30.6100,30.6300,30.6400,30.6500,30.6800,30.7200,30.7200,30.7500,30.7800,30.8100,30.8500,30.8800,30.9200,30.9900,31.0700,31.1500,31.2500,31.3100,31.3600,31.4500,31.5300,31.6300,31.7500,31.8500,31.9600,32.0500,32.1600,32.2400
Gross Coupon (Derived),OPF1319A,30.5000,30.5000,30.4900,30.5000,30.5100,30.5200,30.5500,30.6100,30.6300,30.6400,30.6500,30.6800,30.7200,30.7200,30.7500,30.7800,30.8100,30.8500,30.8800,30.9200,30.9900,31.0700,31.1500,31.2500,31.3100,31.3600,31.4500,31.5300,31.6300,31.7500,31.8500,31.9600,32.0500,32.1600,32.2400
WAVG Amort Term,OPF1319A,37,37,37,37,37,37,37,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,35,35,35,35,34,34,34,33,33,33,32,32,32
WAVG Rem Term,OPF1319A,37,37,37,37,37,37,37,36,36,36,36,36,37,36,36,36,36,36,36,36,36,35,35,35,35,35,34,34,33,33,33,33,32,32,31
Number of Assets,OPF1319A,"80,791","81,322","82,294","83,211","84,374","86,600","88,965","90,548","92,378","93,572","94,541","94,645","93,989","92,961","92,012","90,178","88,814","88,205","87,854","86,904","86,818","86,869","87,017","86,876","86,204","86,965","87,812","88,197","89,428","90,643","92,466","94,006","95,267","95,440","94,639"
