Date,Deal,Gross_Coupon,Accum_Net_Loss_precent,Annualized_Net_Loss_Rate,Delinq_30,Number_of_Assets,Life_CDR,Life_CPR,Gross_Coupon_Accum_Net_Loss_precent,Num_Assets_in_Delinq_30_Days_Number_of_Assets,Open,High,Low,Close,Adj_Close,Volume,series
2020-09-15 00:00:00,Deal AFRM20Z1,0.0,0.0,0.03,0.06,78535.0,0.03,13.67,0.0,7.639905774495448e-07,4.96,5.14,4.91,5.04,5.04,611900.0,1
2020-10-15 00:00:00,Deal AFRM20Z1,0.0,0.0,0.0,0.08,76866.0,0.02,20.86,0.0,1.0407722530117347e-06,5.07,5.085,4.94,4.98,4.98,1164100.0,1
2020-11-15 00:00:00,Deal AFRM20Z1,0.0,0.01,0.11,0.12,75079.0,0.04,20.24,-0.01,1.5983164400165158e-06,5.75,5.9,5.58,5.61,5.61,2637100.0,1
2020-12-15 00:00:00,Deal AFRM20Z1,0.0,0.03,0.34,0.13,72558.0,0.1,19.14,-0.03,1.7916701121861132e-06,8.97,9.19,8.91,9.09,9.09,2282100.0,1
2021-01-15 00:00:00,Deal AFRM20Z1,0.0,0.06,0.41,0.12,70174.0,0.15,18.46,-0.06,1.7100350557186422e-06,11.09,11.15,10.64,10.66,10.66,988500.0,1
2021-02-15 00:00:00,Deal AFRM20Z1,0.0,0.08,0.33,0.12,67786.0,0.18,18.16,-0.08,1.770277048358068e-06,12.32,13.3,12.15,12.72,12.72,2043200.0,1
2021-03-15 00:00:00,Deal AFRM20Z1,0.0,0.09,0.27,0.11,65627.0,0.19,17.62,-0.09,1.6761393938470446e-06,15.0,17.67,14.93,17.09,17.09,6363100.0,1
2021-04-15 00:00:00,Deal AFRM20Z1,0.0,0.1,0.17,0.14,63238.0,0.19,17.78,-0.1,2.2138587558113793e-06,15.13,15.315,14.41,14.78,14.78,1646400.0,1
2021-05-15 00:00:00,Deal AFRM20Z1,0.0,0.12,0.35,0.13,60993.0,0.2,17.38,-0.12,2.1313921269653893e-06,12.97,13.4,12.72,12.88,12.88,1785400.0,1
2021-06-15 00:00:00,Deal AFRM20Z1,0.0,0.12,0.09,0.16,58135.0,0.19,16.83,-0.12,2.752214672744474e-06,16.549999,17.83,16.540001,17.67,17.67,1751600.0,1
2021-07-15 00:00:00,Deal AFRM20Z1,0.0,0.14,0.47,0.16,56177.0,0.22,16.5,-0.14,2.848140698150489e-06,16.219999,16.879999,15.89,16.08,16.08,1150700.0,1
2021-08-15 00:00:00,Deal AFRM20Z1,0.0,0.15,0.42,0.19,54847.0,0.23,16.28,-0.15,3.4641821795175673e-06,28.809999,29.0,27.82,28.16,28.16,1304600.0,1
2021-09-15 00:00:00,Deal AFRM20Z1,0.0,0.17,0.4,0.22,53774.0,0.24,16.07,-0.17,4.091196489009559e-06,29.200001,29.5,28.403,28.690001,28.690001,1422800.0,1
2021-10-15 00:00:00,Deal AFRM20Z1,0.0,0.18,0.38,0.23,52789.0,0.25,15.9,-0.18,4.356968307791396e-06,34.560001,34.73,33.279999,34.200001,34.200001,2258800.0,1
2021-11-15 00:00:00,Deal AFRM20Z1,0.0,0.2,0.45,0.23,51714.0,0.27,15.76,-0.2,4.447538384189968e-06,44.310001,46.639999,42.650002,43.59,43.59,2726500.0,1
2021-12-15 00:00:00,Deal AFRM20Z1,0.0,0.22,0.65,0.25,50519.0,0.29,15.57,-0.22,4.948633187513609e-06,26.1,27.5,24.959999,26.9,26.9,3424100.0,1
2022-01-15 00:00:00,Deal AFRM20Z1,0.0,0.23,0.47,0.26,48872.0,0.3,15.55,-0.23,5.3200196431494514e-06,23.77,24.440001,22.459999,22.52,22.52,3043800.0,1
2022-02-15 00:00:00,Deal AFRM20Z1,0.0,0.24,0.36,0.27,47447.0,0.3,15.61,-0.24,5.690559993255633e-06,17.700001,18.424,17.549999,18.389999,18.389999,2347200.0,1
2022-03-15 00:00:00,Deal AFRM20Z1,0.0,0.25,0.57,0.27,45372.0,0.31,15.6,-0.25,5.950806664903465e-06,13.58,14.18,13.42,14.12,14.12,1852400.0,1
2022-04-15 00:00:00,Deal AFRM20Z1,0.0,0.26,0.52,0.27,42957.0,0.32,15.73,-0.26,6.285355122564425e-06,13.37,13.63,13.21,13.45,13.45,1541300.0,1
2022-05-15 00:00:00,Deal AFRM20Z1,0.0,0.27,0.5,0.23,40788.0,0.33,15.64,-0.27,5.6389134059036975e-06,14.04,14.13,13.46,13.53,13.53,2244000.0,1
2022-06-15 00:00:00,Deal AFRM20Z1,0.0,0.28,0.49,0.3,37510.0,0.34,15.44,-0.28,7.997867235403892e-06,13.29,13.507,12.73,13.2,13.2,1819400.0,1
2022-07-15 00:00:00,Deal AFRM20Z1,0.0,0.29,0.46,0.32,35568.0,0.34,15.44,-0.29,8.99685110211426e-06,12.66,12.95,12.42,12.91,12.91,1434200.0,1
2022-08-15 00:00:00,Deal AFRM20Z1,0.0,0.29,0.45,0.35,34900.0,0.35,15.52,-0.29,1.002865329512894e-05,15.26,15.565,15.03,15.56,15.56,971100.0,1
2022-09-15 00:00:00,Deal AFRM20Z1,0.0,0.31,0.88,0.37,34184.0,0.37,15.64,-0.31,1.0823777205710274e-05,12.64,13.39,12.64,12.94,12.94,1230800.0,1
