Date,Deal,Gross_Coupon,Accum_Net_Loss_precent,Annualized_Net_Loss_Rate,Delinq_30,Number_of_Assets,Life_CDR,Gross_Coupon_Accum_Net_Loss_precent,Num_Assets_in_Delinq_30_Days_Number_of_Assets,Open,High,Low,Close,Adj_Close,Volume
2021-01-15 00:00:00,Deal AFRM20Z2,0.0,0.0,0.02,0.07,183717.0,0.03,0.0,3.8102080917933565e-07,123.054001,127.239998,107.0,117.0,117.0,8310700.0
2021-02-15 00:00:00,Deal AFRM20Z2,0.0,0.01,0.03,0.09,179462.0,0.03,-0.01,5.014989245634173e-07,129.300003,129.300003,115.0,119.150002,119.150002,5642300.0
2021-03-15 00:00:00,Deal AFRM20Z2,0.0,0.02,0.2,0.11,175708.0,0.06,-0.02,6.260386550413185e-07,80.0,82.779999,79.0,81.349998,81.349998,1885200.0
2021-04-15 00:00:00,Deal AFRM20Z2,0.0,0.04,0.39,0.11,170673.0,0.12,-0.04,6.445073327356993e-07,70.349998,70.589996,67.480003,68.669998,68.669998,1222600.0
2021-05-15 00:00:00,Deal AFRM20Z2,0.0,0.06,0.28,0.11,166829.0,0.14,-0.06,6.593577855169066e-07,49.380001,54.610001,49.060001,54.0,54.0,3886600.0
2021-06-15 00:00:00,Deal AFRM20Z2,0.0,0.08,0.38,0.13,162781.0,0.17,-0.08,7.986190034463482e-07,68.82,69.370003,66.279999,67.260002,67.260002,2718000.0
2021-07-15 00:00:00,Deal AFRM20Z2,0.0,0.1,0.33,0.15,158268.0,0.19,-0.1,9.477594965501554e-07,57.439999,58.73,55.580002,57.450001,57.450001,3483100.0
2021-08-15 00:00:00,Deal AFRM20Z2,0.0,0.11,0.26,0.18,153940.0,0.19,-0.11,1.1692867350915941e-06,65.220001,65.230003,61.661999,63.59,63.59,1589100.0
2021-09-15 00:00:00,Deal AFRM20Z2,0.0,0.13,0.45,0.19,150041.0,0.22,-0.13,1.266320539052659e-06,108.040001,112.760002,107.059998,109.75,109.75,14468700.0
2021-10-15 00:00:00,Deal AFRM20Z2,0.0,0.15,0.31,0.21,144325.0,0.23,-0.15,1.4550493677464057e-06,148.660004,153.199997,145.539993,146.729996,146.729996,16099500.0
2021-11-15 00:00:00,Deal AFRM20Z2,0.0,0.17,0.48,0.23,140165.0,0.24,-0.17,1.640923197659901e-06,150.619995,150.679993,144.509995,147.990005,147.990005,6722600.0
2021-12-15 00:00:00,Deal AFRM20Z2,0.0,0.18,0.3,0.26,136839.0,0.25,-0.18,1.9000431163630251e-06,103.0,113.190002,101.669998,110.980003,110.980003,11070500.0
2022-01-15 00:00:00,Deal AFRM20Z2,0.0,0.2,0.5,0.27,133079.0,0.27,-0.2,2.0288700696578726e-06,71.302002,75.440002,68.389999,69.190002,69.190002,8823600.0
2022-02-15 00:00:00,Deal AFRM20Z2,0.0,0.22,0.74,0.24,129008.0,0.3,-0.22,1.8603497457522014e-06,45.0,45.200001,42.119999,44.799999,44.799999,27207400.0
2022-03-15 00:00:00,Deal AFRM20Z2,0.0,0.23,0.42,0.25,125140.0,0.3,-0.23,1.9977625059932876e-06,26.73,28.4,26.059999,28.33,28.33,11438600.0
2022-04-15 00:00:00,Deal AFRM20Z2,0.0,0.25,0.51,0.25,120793.0,0.31,-0.25,2.069656354258939e-06,38.290001,38.34,35.049999,35.189999,35.189999,5968100.0
2022-05-15 00:00:00,Deal AFRM20Z2,0.0,0.26,0.38,0.24,116561.0,0.32,-0.26,2.059007729858186e-06,23.65,25.52,22.200001,22.950001,22.950001,32557300.0
2022-06-15 00:00:00,Deal AFRM20Z2,0.0,0.27,0.5,0.27,112180.0,0.33,-0.27,2.406846140131931e-06,17.709999,19.190001,17.440001,18.6,18.6,14292300.0
2022-07-15 00:00:00,Deal AFRM20Z2,0.0,0.29,0.71,0.31,108957.0,0.34,-0.29,2.8451590994612555e-06,22.49,23.08,21.15,23.059999,23.059999,14497300.0
2022-08-15 00:00:00,Deal AFRM20Z2,0.0,0.3,0.47,0.34,104887.0,0.35,-0.3,3.241583799708258e-06,38.580002,40.77,38.389999,38.419998,38.419998,10247400.0
2022-09-15 00:00:00,Deal AFRM20Z2,0.0,0.31,0.78,0.36,100625.0,0.37,-0.31,3.577639751552795e-06,22.709999,25.120001,22.639999,23.99,23.99,17424500.0
