Date,Gross_Coupon,Accum_Net_Loss_precent,Annualized_Net_Loss_Rate,Delinq_30,Number_of_Assets,Life_CDR,Life_CPR,Gross_Coupon_Accum_Net_Loss_precent,Num_Assets_in_Delinq_30_Days_Number_of_Assets,Open,High,Low,Close,Adj_Close,Volume,series
2021-01-15 00:00:00,0.0,0.06,0.41,0.12,70174.0,0.15,18.46,-0.06,1.7100350557186422e-06,123.054001,127.239998,107.0,117.0,117.0,8310700.0,1
2021-02-15 00:00:00,0.0,0.08,0.33,0.12,67786.0,0.18,18.16,-0.08,1.770277048358068e-06,129.300003,129.300003,115.0,119.150002,119.150002,5642300.0,1
2021-03-15 00:00:00,0.0,0.09,0.27,0.11,65627.0,0.19,17.62,-0.09,1.6761393938470446e-06,80.0,82.779999,79.0,81.349998,81.349998,1885200.0,1
2021-04-15 00:00:00,0.0,0.1,0.17,0.14,63238.0,0.19,17.78,-0.1,2.2138587558113793e-06,70.349998,70.589996,67.480003,68.669998,68.669998,1222600.0,1
2021-05-15 00:00:00,0.0,0.12,0.35,0.13,60993.0,0.2,17.38,-0.12,2.1313921269653893e-06,52.57,52.810001,50.009998,50.599998,50.599998,3853900.0,1
2021-06-15 00:00:00,0.0,0.12,0.09,0.16,58135.0,0.19,16.83,-0.12,2.752214672744474e-06,68.82,69.370003,66.279999,67.260002,67.260002,2718000.0,1
2021-07-15 00:00:00,0.0,0.14,0.47,0.16,56177.0,0.22,16.5,-0.14,2.848140698150489e-06,57.439999,58.73,55.580002,57.450001,57.450001,3483100.0,1
2021-08-15 00:00:00,0.0,0.15,0.42,0.19,54847.0,0.23,16.28,-0.15,3.4641821795175673e-06,65.220001,65.230003,61.661999,63.59,63.59,1589100.0,1
2021-09-15 00:00:00,0.0,0.17,0.4,0.22,53774.0,0.24,16.07,-0.17,4.091196489009559e-06,108.040001,112.760002,107.059998,109.75,109.75,14468700.0,1
2021-10-15 00:00:00,0.0,0.18,0.38,0.23,52789.0,0.25,15.9,-0.18,4.356968307791396e-06,148.660004,153.199997,145.539993,146.729996,146.729996,16099500.0,1
2021-11-15 00:00:00,0.0,0.2,0.45,0.23,51714.0,0.27,15.76,-0.2,4.447538384189968e-06,150.619995,150.679993,144.509995,147.990005,147.990005,6722600.0,1
2021-12-15 00:00:00,0.0,0.22,0.65,0.25,50519.0,0.29,15.57,-0.22,4.948633187513609e-06,103.0,113.190002,101.669998,110.980003,110.980003,11070500.0,1
2022-01-15 00:00:00,0.0,0.23,0.47,0.26,48872.0,0.3,15.55,-0.23,5.3200196431494514e-06,67.599998,69.599998,63.77,64.18,64.18,9907100.0,1
2022-02-15 00:00:00,0.0,0.24,0.36,0.27,47447.0,0.3,15.61,-0.24,5.690559993255633e-06,45.0,45.200001,42.119999,44.799999,44.799999,27207400.0,1
2022-03-15 00:00:00,0.0,0.25,0.57,0.27,45372.0,0.31,15.6,-0.25,5.950806664903465e-06,26.73,28.4,26.059999,28.33,28.33,11438600.0,1
2022-04-15 00:00:00,0.0,0.26,0.52,0.27,42957.0,0.32,15.73,-0.26,6.285355122564425e-06,35.27,36.299999,34.279999,35.209999,35.209999,8352200.0,1
2022-05-15 00:00:00,0.0,0.27,0.5,0.23,40788.0,0.33,15.64,-0.27,5.6389134059036975e-06,23.65,25.52,22.200001,22.950001,22.950001,32557300.0,1
2022-06-15 00:00:00,0.0,0.28,0.49,0.3,37510.0,0.34,15.44,-0.28,7.997867235403892e-06,17.709999,19.190001,17.440001,18.6,18.6,14292300.0,1
2022-07-15 00:00:00,0.0,0.29,0.46,0.32,35568.0,0.34,15.44,-0.29,8.99685110211426e-06,22.49,23.08,21.15,23.059999,23.059999,14497300.0,1
2022-08-15 00:00:00,0.0,0.29,0.45,0.35,34900.0,0.35,15.52,-0.29,1.002865329512894e-05,38.580002,40.77,38.389999,38.419998,38.419998,10247400.0,1
2022-09-15 00:00:00,0.0,0.31,0.88,0.37,34184.0,0.37,15.64,-0.31,1.0823777205710274e-05,22.709999,25.120001,22.639999,23.99,23.99,17424500.0,1
