Date,1mo CPR,Gross Coupon (Derived),Annualized Net Loss Rate,Delinq 30+,Life CDR,Date,Open,High,Low,Close,Adj Close,Volume,adj_1,adj_7,adj_30,adj_90,adj_1_change,adj_7_change,adj_30_change,adj_90_change
2020-12-15 00:00:00,OPF2001,30.8522,0.2,0.26,0.2,308.0,18.34,19.174999,18.25,19.02,19.02,97700.0,18.75,19.1,17.82,19.309999,-0.0141955835962145,-0.0108751429764444,0.0264976367224862,-0.0506391838741395
2021-01-15 00:00:00,OPF2001,30.8217,0.62,1.22,0.41,329.0,17.379999,17.52,17.139999,17.360001,17.360001,58100.0,17.82,16.469999,17.219999,19.969999,0.0264976367224862,-0.0446636310904871,0.0392274592637296,-0.0069618096985673
2021-02-15 00:00:00,OPF2001,30.7877,0.28,1.98,0.37,349.0,17.15,17.52,16.6,16.889999,16.889999,52000.0,16.57,15.94,20.719999,19.629999,-0.0189460638807615,-0.0321796619416917,-0.0407407870370369,0.0197402077922079
2021-03-15 00:00:00,OPF2001,30.7497,2.31,2.47,0.86,368.0,21.049999,22.9,21.038,22.41,22.41,204200.0,22.309999,20.34,20.75,21.290001,-0.0044623382418562,-0.0360189573459716,0.007770762506071,-0.0004693896933986
2021-04-15 00:00:00,OPF2001,30.7073,7.97,2.44,2.28,390.0,20.719999,20.98,20.27,20.75,20.75,18800.0,20.17,19.969999,19.959999,20.540001,-0.0279518072289155,-0.0069618096985673,-0.0024988005997002,0.0138203849950639
2021-05-15 00:00:00,OPF2001,30.6627,8.1,2.23,3.23,411.0,19.93,20.01,19.5,20.01,20.01,49400.0,19.959999,20.23,21.299999,24.110001,-0.0024988005997002,0.0305655135285538,-0.0079180255201689,0.0033291717299555
2021-06-15 00:00:00,OPF2001,30.6134,7.74,2.44,3.87,432.0,21.26,21.75,21.26,21.469999,21.469999,65800.0,21.299999,20.93,20.110001,24.459999,-0.0079180255201689,-0.0201311320163327,-0.0122789777859048,0.0124171771523178
2021-07-15 00:00:00,OPF2001,30.564,8.12,2.42,4.39,453.0,20.040001,20.440001,19.950001,20.360001,20.360001,62400.0,20.110001,20.74,24.299999,25.17,-0.0122789777859048,-0.0076555023923444,-0.012596586241504,-0.003562945368171
2021-08-15 00:00:00,OPF2001,30.5069,6.7,2.66,4.64,475.0,24.389999,24.389999,23.82,24.299999,24.299999,40300.0,24.030001,24.27,24.16,25.27,-0.0111110292638284,0.0180369127516777,-0.0012402231814706,-0.000790865923651
2021-09-15 00:00:00,OPF2001,30.4432,6.74,3.01,4.86,496.0,24.07,24.209999,23.370001,24.190001,24.190001,40200.0,24.16,23.629999,25.26,20.42,-0.0012402231814706,0.0141630907366134,0.0019833796899397,0.0493320169235365
2021-10-15 00:00:00,OPF2001,30.3808,8.6,2.96,5.21,518.0,25.620001,25.879999,25.110001,25.26,25.26,171000.0,25.17,24.48,25.290001,19.290001,-0.003562945368171,-0.0052824459454512,-0.0239289463527595,-0.0306532160804019
2021-11-15 00:00:00,OPF2001,30.3069,8.46,3.3,5.48,539.0,27.84,27.84,24.57,25.91,25.91,264100.0,25.290001,23.82,19.459999,17.15,-0.0239289463527595,0.0025252525252523,-0.0470127815866797,-0.0103866128101557
2021-12-15 00:00:00,OPF2001,30.2346,7.9,3.71,5.69,560.0,19.940001,20.77,19.745001,20.42,20.42,138800.0,19.459999,20.790001,18.93,14.26,-0.0470127815866797,0.0062924007744433,-0.0176440062272963,0.0021082220660575
2022-01-15 00:00:00,OPF2001,30.147,9.93,4.37,5.99,581.0,19.6,19.6,19.02,19.27,19.27,64800.0,18.93,19.190001,17.610001,12.7,-0.0176440062272963,0.0121309078128115,0.0173311390717005,-0.0393343419062027
2022-02-15 00:00:00,OPF2001,30.0568,13.11,4.35,6.46,602.0,17.01,17.66,16.940001,17.309999,17.309999,184400.0,17.610001,16.73,14.29,10.63,0.0173311390717005,0.0060132895979128,0.0229062276306368,-0.0238751147842056
2022-03-15 00:00:00,OPF2001,29.9554,10.93,4.28,6.75,621.0,14.05,14.07,13.43,13.49,13.49,112500.0,13.85,14.26,13.5,9.15,0.0266864343958488,0.0021082220660575,-0.0266762797404469,0.017797552836485
2022-04-15 00:00:00,OPF2001,29.8403,11.23,4.03,7.04,643.0,13.85,13.89,13.48,13.5,13.5,266200.0,13.62,12.09,11.33,9.54,0.0088888888888887,-0.048031496062992,0.0125111706881144,0.0084566596194501
2022-05-15 00:00:00,OPF2001,29.7186,9.84,3.86,7.25,664.0,11.36,11.62,11.19,11.19,11.19,133800.0,11.33,11.01,8.99,6.74,0.0125111706881144,0.0357478833490121,-0.1009999999999999,-0.0217706821480405
2022-06-15 00:00:00,OPF2001,29.5894,9.23,4.08,7.41,685.0,10.11,10.25,9.92,10.0,10.0,250900.0,8.99,8.49,9.35,5.01,-0.1009999999999999,-0.0230149597238203,0.106508875739645,-0.0890909090909091
2022-07-15 00:00:00,OPF2001,29.4816,9.49,4.29,7.54,705.0,8.23,8.68,8.19,8.5,8.5,218100.0,8.45,9.34,7.36,4.25,-0.0058823529411765,-0.020964360587002,-0.0303030303030302,-0.0296803652968036
2022-08-15 00:00:00,OPF2001,29.4465,11.99,4.47,7.78,726.0,7.68,7.71,7.4,7.59,7.59,273100.0,7.36,6.24,5.45,6.5,-0.0303030303030302,-0.0741839762611276,0.0480769230769231,-0.0845070422535211
