Date,Deal,Gross_Coupon,Accum_Net_Loss_precent,Annualized_Net_Loss_Rate,Delinq_30,Life_CDR,Gross_Coupon_Accum_Net_Loss_precent,Open,High,Low,Close,Adj_Close,Volume,series
2020-12-15 00:00:00,OPF2001,30.8522,0.02,0.2,0.26,0.2,30.8322,18.34,19.174999,18.25,19.02,19.02,97700.0,1
2021-01-15 00:00:00,OPF2001,30.8217,0.06,0.62,1.22,0.41,30.7617,17.379999,17.52,17.139999,17.360001,17.360001,58100.0,1
2021-02-15 00:00:00,OPF2001,30.7877,0.09,0.28,1.98,0.37,30.6977,17.15,17.52,16.6,16.889999,16.889999,52000.0,1
2021-03-15 00:00:00,OPF2001,30.7497,0.24,2.31,2.47,0.86,30.509700000000002,21.049999,22.9,21.038,22.41,22.41,204200.0,1
2021-04-15 00:00:00,OPF2001,30.7073,0.74,7.97,2.44,2.28,29.9673,20.719999,20.98,20.27,20.75,20.75,18800.0,1
2021-05-15 00:00:00,OPF2001,30.6627,1.21,8.1,2.23,3.23,29.4527,19.870001,20.01,19.66,19.959999,19.959999,59600.0,1
2021-06-15 00:00:00,OPF2001,30.6134,1.61,7.74,2.44,3.87,29.0034,21.26,21.75,21.26,21.469999,21.469999,65800.0,1
2021-07-15 00:00:00,OPF2001,30.564,2.0,8.12,2.42,4.39,28.564,20.040001,20.440001,19.950001,20.360001,20.360001,62400.0,1
2021-08-15 00:00:00,OPF2001,30.5069,2.29,6.7,2.66,4.64,28.216900000000003,24.389999,24.389999,23.82,24.299999,24.299999,40300.0,1
2021-09-15 00:00:00,OPF2001,30.4432,2.55,6.74,3.01,4.86,27.8932,24.07,24.209999,23.370001,24.190001,24.190001,40200.0,1
2021-10-15 00:00:00,OPF2001,30.3808,2.86,8.6,2.96,5.21,27.5208,25.620001,25.879999,25.110001,25.26,25.26,171000.0,1
2021-11-15 00:00:00,OPF2001,30.3069,3.12,8.46,3.3,5.48,27.186899999999998,27.84,27.84,24.57,25.91,25.91,264100.0,1
2021-12-15 00:00:00,OPF2001,30.2346,3.34,7.9,3.71,5.69,26.8946,19.940001,20.77,19.745001,20.42,20.42,138800.0,1
2022-01-15 00:00:00,OPF2001,30.147,3.59,9.93,4.37,5.99,26.557,19.0,19.09,18.129999,18.93,18.93,163300.0,1
2022-02-15 00:00:00,OPF2001,30.0568,3.88,13.11,4.35,6.46,26.1768,17.01,17.66,16.940001,17.309999,17.309999,184400.0,1
2022-03-15 00:00:00,OPF2001,29.9554,4.08,10.93,4.28,6.75,25.8754,14.05,14.07,13.43,13.49,13.49,112500.0,1
2022-04-15 00:00:00,OPF2001,29.8403,4.27,11.23,4.03,7.04,25.5703,13.57,13.79,12.98,13.62,13.62,231300.0,1
2022-05-15 00:00:00,OPF2001,29.7186,4.42,9.84,3.86,7.25,25.2986,11.36,11.62,11.19,11.19,11.19,133800.0,1
2022-06-15 00:00:00,OPF2001,29.5894,4.53,9.23,4.08,7.41,25.0594,10.11,10.25,9.92,10.0,10.0,250900.0,1
2022-07-15 00:00:00,OPF2001,29.4816,4.64,9.49,4.29,7.54,24.8416,8.23,8.68,8.19,8.5,8.5,218100.0,1
2022-08-15 00:00:00,OPF2001,29.4465,4.75,11.99,4.47,7.78,24.6965,7.68,7.71,7.4,7.59,7.59,273100.0,1
2022-09-15 00:00:00,OPF2001,29.4014,4.84,11.75,4.94,8.01,24.5614,5.11,5.685,5.1,5.45,5.45,325700.0,1
