Date,Deal,Gross_Coupon,Accum_Net_Loss_precent,Annualized_Net_Loss_Rate,Delinq_30,Number_of_Assets,Life_CDR,Gross_Coupon_Accum_Net_Loss_precent,Num_Assets_in_Delinq_30_Days_Number_of_Assets,Open,High,Low,Close,Adj_Close,Volume
2021-12-25 00:00:00,SFLP1904,11.857,3.77,2.68,1.4,6771.0,3.46,8.087,0.0002067641411903707,15.11,15.49,14.85,15.39,15.39,19826700.0
2022-01-25 00:00:00,SFLP1904,11.863,3.85,4.04,1.53,6452.0,3.49,8.013,0.0002371357718536888,12.746,13.45,12.58,12.76,12.76,72818300.0
2022-02-25 00:00:00,SFLP1904,11.875,3.91,2.91,1.28,6161.0,3.49,7.965,0.0002077584807661094,10.47,10.72,9.97,10.67,10.67,46588100.0
2022-03-25 00:00:00,SFLP1904,11.898,3.92,0.8,1.58,5878.0,3.43,7.978,0.00026879891119428376,9.42,9.42,8.91,9.01,9.01,42524700.0
2022-04-25 00:00:00,SFLP1904,11.912,3.98,3.42,1.42,5487.0,3.46,7.932,0.00025879351193730635,6.27,6.61,6.23,6.55,6.55,37571500.0
2022-05-25 00:00:00,SFLP1904,11.922,4.03,3.63,1.47,5169.0,3.5,7.892,0.00028438769587928035,6.74,7.16,6.678,7.01,7.01,35566800.0
2022-06-25 00:00:00,SFLP1904,11.927,4.06,2.35,1.61,4841.0,3.49,7.867,0.0003325759140673415,5.88,6.18,5.79,6.13,6.13,87590000.0
2022-07-25 00:00:00,SFLP1904,11.944,4.07,0.63,1.73,4364.0,3.48,7.8740000000000006,0.0003964252978918423,6.57,6.61,6.37,6.46,6.46,14153800.0
2022-08-25 00:00:00,SFLP1904,11.96,4.1,2.08,1.93,4069.0,3.47,7.860000000000001,0.0004743180142541165,6.63,6.72,6.39,6.69,6.69,53630800.0
2022-09-25 00:00:00,SFLP1904,11.97,4.16,6.2,2.06,3872.0,3.55,7.8100000000000005,0.0005320247933884298,5.3,5.51,5.08,5.08,5.08,65463200.0
