Date,1mo CPR,Gross Coupon,Accum Net Loss%,Annualized Net Loss Rate,Delinq 30+,Number of Assets,Life CDR,Open,High,Low,Close,Adj_Close,Volume
2021-12-25 00:00:00,SFLP2001,11.789,2.47,3.81,1.21,6166.0,2.67,15.11,15.49,14.85,15.39,15.39,19826700.0
2022-01-25 00:00:00,SFLP2001,11.809,2.56,3.47,1.01,5890.0,2.71,12.746,13.45,12.58,12.76,12.76,72818300.0
2022-02-25 00:00:00,SFLP2001,11.827,2.6,1.82,1.0,5622.0,2.7,10.47,10.72,9.97,10.67,10.67,46588100.0
2022-03-25 00:00:00,SFLP2001,11.84,2.69,4.21,0.94,5337.0,2.78,9.42,9.42,8.91,9.01,9.01,42524700.0
2022-04-25 00:00:00,SFLP2001,11.856,2.7,0.47,1.39,5102.0,2.73,6.27,6.61,6.23,6.55,6.55,37571500.0
2022-05-25 00:00:00,SFLP2001,11.883,2.75,2.66,1.58,4876.0,2.75,6.74,7.16,6.678,7.01,7.01,35566800.0
2022-06-25 00:00:00,SFLP2001,11.917,2.79,2.61,1.51,4607.0,2.76,5.88,6.18,5.79,6.13,6.13,87590000.0
2022-07-25 00:00:00,SFLP2001,11.949,2.83,2.3,1.48,4362.0,2.8,6.57,6.61,6.37,6.46,6.46,14153800.0
2022-08-25 00:00:00,SFLP2001,11.996,2.89,4.43,1.99,4140.0,2.92,6.63,6.72,6.39,6.69,6.69,53630800.0
2022-09-25 00:00:00,SFLP2001,12.029,2.94,3.78,2.12,3954.0,2.95,5.3,5.51,5.08,5.08,5.08,65463200.0
