Date,Deal,Gross_Coupon,Accum_Net_Loss_precent,Annualized_Net_Loss_Rate,Delinq_30,Number_of_Assets,Life_CDR,Gross_Coupon_Accum_Net_Loss_precent,Num_Assets_in_Delinq_30_Days_Number_of_Assets,Open,High,Low,Close,Adj_Close,Volume
2021-12-25 00:00:00,SFLP2101,10.916,0.0,0.0,0.1,7554.0,0.0,10.916,1.3238019592268997e-05,15.11,15.49,14.85,15.39,15.39,19826700.0
2022-01-25 00:00:00,SFLP2101,10.937,0.0,0.0,0.42,7303.0,0.0,10.937,5.751061207722853e-05,12.746,13.45,12.58,12.76,12.76,72818300.0
2022-02-25 00:00:00,SFLP2101,10.955,0.01,0.14,0.48,7061.0,0.03,10.945,6.797903979606288e-05,10.47,10.72,9.97,10.67,10.67,46588100.0
2022-03-25 00:00:00,SFLP2101,10.98,0.05,0.54,0.75,6844.0,0.11,10.93,0.00010958503798947984,9.42,9.42,8.91,9.01,9.01,42524700.0
2022-04-25 00:00:00,SFLP2101,10.991,0.2,2.46,0.86,6577.0,0.46,10.791,0.00013075870457655465,6.27,6.61,6.23,6.55,6.55,37571500.0
2022-05-25 00:00:00,SFLP2101,11.004,0.29,1.54,1.0,6301.0,0.63,10.714,0.00015870496746548166,6.74,7.16,6.678,7.01,7.01,35566800.0
2022-06-25 00:00:00,SFLP2101,11.018,0.42,2.18,1.05,6091.0,0.82,10.598,0.00017238548678377935,5.88,6.18,5.79,6.13,6.13,87590000.0
2022-07-25 00:00:00,SFLP2101,11.034,0.54,2.32,1.22,5875.0,1.01,10.494,0.0002076595744680851,6.57,6.61,6.37,6.46,6.46,14153800.0
2022-08-25 00:00:00,SFLP2101,11.047,0.72,3.73,1.21,5651.0,1.31,10.327,0.00021412139444346132,6.63,6.72,6.39,6.69,6.69,53630800.0
2022-09-25 00:00:00,SFLP2101,11.063,0.98,5.42,1.37,5459.0,1.65,10.083,0.00025096171459974354,5.3,5.51,5.08,5.08,5.08,65463200.0
