,Date,Sum SZE(M),BNCH-A,C/E-A,CCY-A,CPN-A,DR-A,FI-A,GDNC-A,KR-A,LTV-A,MO-A,PRICE-A,SP-A,SPRD-A,SZE(M)-A,TYPE-A,WAL-A,YLD-A,BNCH-B,C/E-B,CCY-B,CPN-B,DR-B,FI-B,GDNC-B,KR-B,LTV-B,MO-B,PRICE-B,SP-B,SPRD-B,SZE(M)-B,TYPE-B,WAL-B,YLD-B,BNCH-C,C/E-C,CCY-C,CPN-C,DR-C,FI-C,GDNC-C,KR-C,LTV-C,MO-C,PRICE-C,SP-C,SPRD-C,SZE(M)-C,TYPE-C,WAL-C,YLD-C,BNCH-C-1,C/E-C-1,CCY-C-1,CPN-C-1,DR-C-1,FI-C-1,GDNC-C-1,KR-C-1,LTV-C-1,MO-C-1,PRICE-C-1,SP-C-1,SPRD-C-1,SZE(M)-C-1,TYPE-C-1,WAL-C-1,YLD-C-1,BNCH-CERT,C/E-CERT,CCY-CERT,CPN-CERT,DR-CERT,FI-CERT,GDNC-CERT,KR-CERT,LTV-CERT,MO-CERT,PRICE-CERT,SP-CERT,SPRD-CERT,SZE(M)-CERT,TYPE-CERT,WAL-CERT,YLD-CERT,CPN-A-change,CPN-B-change,CPN-C-change,PRICE-A-change,PRICE-B-change,PRICE-C-change,SPRD-A-change,SPRD-B-change,SPRD-C-change,SZE(M)-A-change,SZE(M)-B-change,SZE(M)-C-change,WAL-A-change,WAL-B-change,WAL-C-change,YLD-A-change,YLD-B-change,YLD-C-change
0,2016-07-29,134.997,Swaps,-,USD,0.0375,-,-,4%,E,-,E,100.0,-,0.0,88.06,Fixed,0.75,0.0375,Swaps,-,USD,0.065,-,-,7%,E,-,E,100.0,-,0.0,16.935,Fixed,2.31,0.065,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,-,-,USD,-,-,-,-,-,-,-,Retained,-,-,30.002,-,-,-,,,,,,,,,,,,,,,,,,
1,2016-12-01,101.751,EDSF,-,USD,0.03,-,-,-,BBB,-,E,100.0,-,200.0,85.34,Fixed,0.78,0.0,Swaps,-,USD,0.06,-,-,-,BB-,-,E,100.0,-,499.0,16.411,Fixed,2.41,0.0,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0075,-0.0050000000000000044,,0.0,0.0,0.0,200.0,499.0,0.0,-2.719999999999999,-0.5239999999999974,0.0,0.030000000000000027,0.10000000000000009,0.0,-0.0375,-0.065,
2,2017-03-07,213.137,YLD,-,USD,0.0325,-,-,-,BBB,-,E,0.0,-,188.0,176.39,Fixed,0.83,0.0325,YLD,-,USD,0.055,-,-,-,BB-,-,E,0.0,-,371.0,36.747,Fixed,2.67,0.055,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025000000000000022,-0.0049999999999999975,,-100.0,-100.0,0.0,-12.0,-128.0,0.0,91.04999999999998,20.336,0.0,0.04999999999999993,0.2599999999999998,0.0,0.0325,0.055,
3,2017-06-14,265.418,EDSF,-,USD,0.0239,-,-,125-135,A-,-,E,99.9997,-,110.0,154.294,Fixed,0.42,0.024,EDSF,-,USD,0.0317,-,-,200-215,BBB,-,E,99.99954,-,180.0,39.173,Fixed,1.18,0.0319,EDSF,-,USD,0.0513,-,-,400-425,BB,-,E,99.98658,-,370.0,71.951,Fixed,1.91,0.0519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0086,-0.0233,,99.9997,99.99954,99.98658,-78.0,-191.0,370.0,-22.095999999999975,2.426000000000002,71.951,-0.41,-1.49,1.91,-0.0085,-0.023100000000000002,
4,2017-09-15,323.107,EDSF,-,USD,0.0242,-,-,100-110,A-,-,E,99.99698,-,97.0,217.334,Fixed,0.77,0.024399999999999998,Swaps,-,USD,0.0356,-,-,180-190,BBB-,-,E,99.99066,-,195.0,51.045,Fixed,2.1,0.0359,Swaps,-,USD,0.050199999999999995,-,-,340-350,BB-,-,E,99.99334,-,335.0,54.728,Fixed,2.94,0.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002999999999999982,0.0039000000000000007,-0.0011000000000000038,-0.002720000000010714,-0.008879999999990673,0.006759999999999877,-13.0,15.0,-35.0,63.03999999999999,11.872,-17.222999999999992,0.35000000000000003,0.9200000000000002,1.03,0.0003999999999999976,0.0040000000000000036,-0.0011000000000000038
5,2017-11-29,313.5,EDSF,-,USD,0.026099999999999998,-,-,85a,A-,-,E,99.99732,-,85.0,227.43,Fixed,0.97,0.0263,Swaps,-,USD,0.0356,-,-,165-175,BBB,-,E,99.98446,-,160.0,32.87,Fixed,2.52,0.0359,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,Swaps,-,USD,4.91%,-,-,300-325,BB,-,-,99.9952,-,290.0,53.2,Fixed,3.31,4.96%,,,,,,,,,,,,,,,,,,0.001899999999999999,0.0,,0.00034000000000844466,-0.006200000000006867,-99.99334,-12.0,-35.0,-335.0,10.096000000000004,-18.175000000000004,-54.728,0.19999999999999996,0.41999999999999993,-2.94,0.0019000000000000024,0.0,
6,2017-12-13,227.095,EDSF,-,USD,0.0255,-,-,90-95,A-,-,E,99.99762,-,85.0,157.614,Fixed,0.46,0.025699999999999997,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,Swaps,-,USD,0.0487,-,-,300a,BB,-,E,99.98609,-,290.0,69.481,Fixed,2.06,0.0493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0005999999999999998,,,0.0002999999999957481,-99.98446,99.98609,0.0,-160.0,290.0,-69.816,-32.87,69.481,-0.51,-2.52,2.06,-0.0006000000000000033,,
7,2018-03-15,301.727,EDSF,-,USD,0.029900000000000003,-,-,-,A-,-,E,99.9965,-,72.0,180.717,Fixed,0.44,0.0311,EDSF,-,USD,0.036699999999999997,-,-,-,BBB,-,E,99.99673,-,125.0,42.876,Fixed,1.23,0.037000000000000005,EDSF,-,USD,0.047400000000000005,-,-,-,BB,-,E,99.99292,-,220.0,78.134,Fixed,1.95,0.0479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004400000000000005,,-0.0012999999999999956,-0.001120000000000232,99.99673,0.0068299999999936745,-13.0,125.0,-70.0,23.10300000000001,42.876,8.653000000000006,-0.020000000000000018,1.23,-0.1100000000000001,0.005400000000000002,,-0.0013999999999999985
8,2018-06-14,294.4,EDSF,-,USD,0.0339,-,-,75-80,A-,-,E,99.99086,-,80.0,218.8,Fixed,0.99,0.0342,Swaps,-,USD,0.0407,-,-,125a,BBB,-,E,99.97933,-,125.0,28.8,Fixed,2.56,0.041100000000000005,Swaps,-,USD,0.0521,-,-,225-235,BB,-,E,99.57249,-,250.0,46.8,Fixed,3.31,0.0541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003999999999999997,0.0040000000000000036,0.004699999999999996,-0.005639999999999645,-0.017399999999994975,-0.4204299999999961,8.0,0.0,30.0,38.083,-14.075999999999997,-31.334000000000003,0.55,1.33,1.36,0.003100000000000002,0.0040999999999999995,0.006200000000000004
9,2018-09-18,270.3,EDSF,-,USD,0.0347,-,-,80a,A-,-,E,99.99978,-,73.0,202.9,Fixed,1.01,0.035,Swaps,-,USD,0.040999999999999995,-,-,120a,BBB,-,E,99.98548,-,115.0,25.3,Fixed,2.58,0.0414,Swaps,-,USD,0.0521,-,-,240-250,BB,-,E,99.98111,-,225.0,42.1,Fixed,3.27,0.0527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008000000000000021,0.0002999999999999947,0.0,0.00892000000000337,0.006149999999990996,0.4086199999999991,-7.0,-10.0,-25.0,-15.900000000000006,-3.5,-4.699999999999996,0.020000000000000018,0.020000000000000018,-0.040000000000000036,0.0008000000000000021,0.0002999999999999947,-0.0014000000000000054
