,Date,Sum SZE(M),BNCH-A,C/E-A,CCY-A,CPN-A,DR-A,FI-A,GDNC-A,KR-A,LTV-A,MO-A,PRICE-A,SP-A,SPRD-A,SZE(M)-A,TYPE-A,WAL-A,YLD-A,BNCH-B,C/E-B,CCY-B,CPN-B,DR-B,FI-B,GDNC-B,KR-B,LTV-B,MO-B,PRICE-B,SP-B,SPRD-B,SZE(M)-B,TYPE-B,WAL-B,YLD-B,BNCH-C,C/E-C,CCY-C,CPN-C,DR-C,FI-C,GDNC-C,KR-C,LTV-C,MO-C,PRICE-C,SP-C,SPRD-C,SZE(M)-C,TYPE-C,WAL-C,YLD-C,BNCH-D,C/E-D,CCY-D,CPN-D,DR-D,FI-D,GDNC-D,KR-D,LTV-D,MO-D,PRICE-D,SP-D,SPRD-D,SZE(M)-D,TYPE-D,WAL-D,YLD-D,CPN-A-change,CPN-B-change,CPN-C-change,CPN-D-change,PRICE-A-change,PRICE-B-change,PRICE-C-change,PRICE-D-change,SPRD-A-change,SPRD-B-change,SPRD-C-change,SPRD-D-change,SZE(M)-A-change,SZE(M)-B-change,SZE(M)-C-change,SZE(M)-D-change,WAL-A-change,WAL-B-change,WAL-C-change,WAL-D-change,YLD-A-change,YLD-B-change,YLD-C-change,YLD-D-change
0,2017-06-14,163.107,EDSF,-,USD,0.0264,-,-,130-140,A-,-,E,99.99914,-,125.0,107.81,Fixed,0.92,0.0265,Swaps,-,USD,0.038,-,-,230-240,BBB-,-,E,99.99749,-,225.0,27.169,Fixed,2.18,0.0383,Swaps,-,USD,0.0635,-,-,475-500,BB-,-,E,99.99896,-,475.0,28.128,Fixed,2.99,0.0643,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,2017-11-15,175.059,EDSF,-,USD,0.025099999999999997,-,-,95-100,A-,-,E,99.99968,-,90.0,91.531,Fixed,0.67,0.0252,Swaps,-,USD,0.0375,-,-,190-200,BBB-,-,E,99.99983,-,190.0,40.668,Fixed,2.05,0.0378,Swaps,-,USD,0.0559,-,-,365-375,BB-,-,E,99.99946,-,365.0,42.86,Fixed,3.35,0.056600000000000004,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,-0.0013000000000000025,-0.0005000000000000004,-0.007600000000000003,,0.0005400000000008731,0.0023400000000037835,0.0005000000000023874,0.0,-35.0,-35.0,-110.0,0.0,-16.278999999999996,13.498999999999999,14.732,0.0,-0.25,-0.13000000000000034,0.3599999999999999,0.0,-0.001299999999999999,-0.0005000000000000004,-0.007699999999999992,
2,2018-04-05,227.211,EDSF,-,USD,0.0302,-,-,75a,A-,-,E,99.99964,-,72.0,73.513,Fixed,0.52,0.030299999999999997,EDSF,-,USD,0.038900000000000004,-,-,150a,BBB-,-,E,99.99941,-,140.0,58.408,Fixed,1.44,0.0392,Swaps,-,USD,0.05,-,-,250a,BB-,-,E,99.9983,-,240.0,45.694,Fixed,2.32,0.050499999999999996,Swaps,-,USD,0.061500000000000006,-,-,350a,B-,-,E,99.99721,-,350.0,49.596,Fixed,3.46,0.0623,0.005100000000000004,0.0014000000000000054,-0.0058999999999999955,,-3.999999999848569e-05,-0.00042000000000541604,-0.0011599999999987176,99.99721,-18.0,-50.0,-125.0,350.0,-18.018,17.740000000000002,2.834000000000003,49.596,-0.15000000000000002,-0.6099999999999999,-1.0300000000000002,3.46,0.005099999999999997,0.0013999999999999985,-0.006100000000000008,
3,2018-08-01,187.623,EDSF,-,USD,0.0333,-,-,80a,A-,-,E,99.99956,-,77.0,81.929,Fixed,0.73,0.0335,EDSF,-,USD,0.044500000000000005,-,-,165a,BBB-,-,E,99.99835,-,160.0,43.883,Fixed,1.86,0.0449,Swaps,-,USD,0.054900000000000004,-,-,270a,BB-,-,E,99.99975,-,260.0,37.733,Fixed,2.83,0.0556,Swaps,-,USD,0.0655,-,-,375a,B-,-,E,99.99821,-,365.0,24.078,Fixed,3.73,0.0664,0.003100000000000002,0.005600000000000001,0.004900000000000002,0.003999999999999997,-7.999999999697138e-05,-0.001059999999995398,0.0014500000000055024,0.0010000000000047748,5.0,20.0,20.0,15.0,8.415999999999997,-14.524999999999999,-7.961000000000006,-25.517999999999997,0.20999999999999996,0.42000000000000015,0.5100000000000002,0.27,0.003200000000000005,0.005700000000000004,0.0051,0.0040999999999999995
4,2019-02-21,231.91,EDSF,-,USD,0.0345,A,-,-,A-,-,E,99.99626,-,85.0,86.837,Fixed,0.66,0.0348,EDSF,-,USD,0.04190000000000001,BBB,-,-,BBB-,-,E,99.99889,-,160.0,64.472,Fixed,1.82,0.042300000000000004,Swaps,-,USD,0.0513,NR,-,-,BB-,-,E,99.9941,-,260.0,45.093,Fixed,2.9,0.0519,Swaps,-,USD,0.06480000000000001,NR,-,-,B-,-,E,99.9955,-,400.0,35.508,Fixed,3.79,0.06570000000000001,0.0011999999999999997,-0.002599999999999998,-0.003600000000000006,-0.0006999999999999923,-0.003299999999995862,0.0005400000000008731,-0.005650000000002819,-0.002709999999993329,8.0,0.0,0.0,35.0,4.908000000000001,20.58899999999999,7.3600000000000065,11.430000000000003,-0.06999999999999995,-0.040000000000000036,0.06999999999999984,0.06000000000000005,0.0012999999999999956,-0.002599999999999998,-0.003699999999999995,-0.0006999999999999923
5,2019-07-31,358.38300000000004,EDSF,-,USD,0.028999999999999998,A (L),-,90-95,A-,-,E,99.99933,-,87.0,230.208,Fixed,1.1,0.0292,Swaps,-,USD,0.0373,BBB (L),-,185-195,BBB-,-,E,99.99761,-,195.0,61.558,Fixed,2.68,0.037599999999999995,Swaps,-,USD,0.0478,NR,-,300-310,BB-,-,E,99.99923,-,305.0,66.617,Fixed,3.65,0.0483,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,-0.005500000000000005,-0.004600000000000007,-0.003499999999999996,,0.003069999999993911,-0.0012800000000083855,0.005129999999994084,-99.9955,2.0,35.0,45.0,-400.0,143.37099999999998,-2.9139999999999944,21.524,-35.508,0.44000000000000006,0.8600000000000001,0.75,-3.79,-0.005599999999999997,-0.00470000000000001,-0.003599999999999999,
6,2019-11-22,346.444,EDSF,-,USD,0.0268,A,-,95-100,A-,-,E,99.99253,-,100.0,223.877,Fixed,1.08,0.0271,Swaps,-,USD,0.0383,BBB (L),-,230a,BBB-,-,E,99.96145,-,230.0,58.602,Fixed,2.66,0.0388,Swaps,-,USD,0.0538,NR,-,390a,BB-,-,E,99.96325,-,390.0,63.965,Fixed,3.57,0.0545,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,-0.002199999999999997,0.0010000000000000009,0.005999999999999998,,-0.006799999999998363,-0.03615999999999531,-0.035979999999995016,0.0,13.0,35.0,85.0,0.0,-6.330999999999989,-2.956000000000003,-2.652000000000001,0.0,-0.020000000000000018,-0.020000000000000018,-0.08000000000000007,0.0,-0.002100000000000001,0.0012000000000000066,0.006199999999999997,
7,2020-02-06,110.107,YLD,31.50%,USD,0.035,-,-,-,BBB,-,E,0.0,-,0.0,110.107,Fixed,1.78,0.0,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.008200000000000002,,,,-99.99253,-99.96145,-99.96325,0.0,-100.0,-230.0,-390.0,0.0,-113.77000000000001,-58.602,-63.965,0.0,0.7,-2.66,-3.57,0.0,-0.0271,,,
8,2020-02-11,374.513,EDSF,-,USD,0.0232,A,-,85a,A-,-,E,99.99991,-,80.0,259.639,Fixed,1.17,0.0233,Swaps,-,USD,0.030899999999999997,BBB (L),-,180-190,BBB-,-,E,99.9993,-,170.0,53.38,Fixed,2.79,0.0311,Swaps,-,USD,0.049,NR,-,365a,BB-,-,E,99.99916,-,355.0,61.494,Fixed,3.65,0.0495,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,-0.011800000000000005,,,,99.99991,99.9993,99.99916,0.0,80.0,170.0,355.0,0.0,149.532,53.38,61.494,0.0,-0.6100000000000001,2.79,3.65,0.0,0.0233,,,
9,2020-09-16,65.54,EDSF,-,USD,0.0231,-,-,-,BBB-,-,E,99.99981,-,210.0,65.54,Fixed,1.65,0.0232,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,-9.99999999999994e-05,,,,-0.00010000000000331966,-99.9993,-99.99916,0.0,130.0,-170.0,-355.0,0.0,-194.099,-53.38,-61.494,0.0,0.48,-2.79,-3.65,0.0,-0.00010000000000000286,,,
