,Unnamed: 0_x,Date,Open,High,Low,Close,Adj Close,Volume,adj_1,adj_7,adj_30,adj_90,adj_1_change,adj_7_change,adj_30_change,adj_90_change,avg_adj_1_change,avg_adj_7_change,avg_adj_30_change,avg_adj_90_change,d1_Vol,d7_Vol,d30_Vol,d90_Vol,d1_BenchVol,d7_BenchVol,d30_BenchVol,d90_BenchVol,d1_ExcessVol,d7_ExcessVol,d30_ExcessVol,d90_ExcessVol,Unnamed: 0_y
0,0,2021-11-29,18.58,18.690001,17.870001,18.43,18.43,23366900,17.200001,15.72,15.95,10.0,,,,,-0.0430125939837522,0.0243938950464988,0.0326382625055512,-0.0909570169024768,,,,,0.0018500832412111,0.0005950621155395,0.0010652561793812,0.0082731789237974,,,,,2555.0
1,1,2021-11-30,18.25,18.540001,17.129999,17.200001,17.200001,67190100,16.389999,16.620001,15.81,9.62,-0.0470931367969107,0.057251972010178,-0.0087774294670845,-0.038,-0.0688653299768455,0.0771811189688028,-0.0182367099453013,-0.0774822348467363,0.0022177635333725,0.0032777882990542,7.704326804964327e-05,0.001444,0.0047424336728198,0.0059569251252764,0.000332577589629,0.0060034967168447,-0.0025246701394472,-0.0026791368262222,-0.0002555343215794,-0.0045594967168447,2556.0
2,2,2021-12-01,17.412001,17.91,16.23,16.389999,16.389999,34471500,16.43,16.940001,15.68,9.72,0.0024405736693455,0.0192539097921835,-0.0082226438962682,0.0103950103950105,0.0039691716288476,0.0167683105779973,-0.0103451830957196,0.0016788433916731,5.956399835502559e-06,0.0003707130422855,6.76118726448367e-05,0.0001080562411123,1.5754323419248714e-05,0.0002811762396401,0.0001070228132839,2.818515133764438e-06,-9.797923583746157e-06,8.953680264536345e-05,-3.9410940639125866e-05,0.0001052377259786,2557.0
3,3,2021-12-02,16.41,16.625,15.96,16.43,16.43,27033800,15.19,15.66,15.05,9.87,-0.0754716981132075,-0.075560857404908,-0.0401785714285714,0.0154320987654319,-0.0540500141193783,-0.0593043125461565,-0.0393421496518027,0.0464664313915704,0.0056959772160911,0.0057094431717648,0.0016143176020408,0.000238149672306,0.0029214040263049,0.0035170014865722,0.0015478047392248,0.0021591292462675,0.0027745731897861,0.0021924416851926,6.651286281597439e-05,-0.0019209795739614,2558.0
4,4,2021-12-03,16.43,16.440001,14.62,15.19,15.19,64350700,15.72,15.01,14.1,9.41,0.0348913759052009,-0.041507024265645,-0.0631229235880399,-0.0466058763931103,0.0264933912182393,-0.0495838311475482,-0.0663429555116114,-0.030134485426412,0.001217408112558,0.0017228330633888,0.0039845034823015,0.0021721077143698,0.0007018997782426,0.0024585563112685,0.0044013877460156,0.0009080872119146,0.0005155083343153,-0.0007357232478797,-0.0004168842637141,0.0012640205024552,2559.0
5,5,2021-12-06,15.06,15.84,14.5,15.72,15.72,34134800,16.620001,14.58,13.78,8.55,0.057251972010178,-0.0286475682878081,-0.0226950354609929,-0.0913921360255046,0.0771811189688028,-0.0507664246050298,-0.0137728180971353,-0.0861175850265586,0.0032777882990542,0.0008206831688046,0.0005150646345757,0.0083525225273043,0.0059569251252764,0.0025772298671781,0.0001896905183367,0.0074162384508065,-0.0026791368262222,-0.0017565466983735,0.0003253741162389,0.0009362840764977,2562.0
6,6,2021-12-07,16.139999,16.719999,16.120001,16.620001,16.620001,30846600,16.940001,14.48,13.74,7.93,0.0192539097921835,-0.0068587105624142,-0.0029027576197386,-0.072514619883041,0.0167683105779973,-0.0251610049896678,-0.0080256393826729,-0.0610410490483832,0.0003707130422855,4.7041910578972114e-05,8.426001798950503e-06,0.0052583700967819,0.0002811762396401,0.00063307617209,6.441088750071024e-05,0.0037260096689271,8.953680264536345e-05,-0.0005860342615111,-5.5984885701759735e-05,0.0015323604278548,2563.0
7,7,2021-12-08,16.790001,17.165001,16.25,16.940001,16.940001,25262600,15.66,15.16,13.37,8.2,-0.075560857404908,0.0469613259668508,-0.0269286754002912,0.0340479192938207,-0.0593043125461565,0.0409579573789691,-0.0250206547443161,0.0420848671836333,0.0057094431717648,0.0022053661365648,0.0007251535588142,0.0011592608082385,0.0035170014865722,0.0016775542726574,0.0006260331638342,0.001771136045864,0.0021924416851926,0.0005278118639073,9.912039497998044e-05,-0.0006118752376255,2564.0
8,8,2021-12-09,16.66,16.91,15.55,15.66,15.66,32398900,15.01,14.27,13.94,8.57,-0.041507024265645,-0.0587071240105541,0.0426327599102469,0.0451219512195122,-0.0495838311475482,-0.0824518554886428,0.0526784594106917,0.0867238971072588,0.0017228330633888,0.0034465264095905,0.0018175522175647,0.002035990481856,0.0024585563112685,0.00679830847352,0.0027750200858838,0.0075210343294704,-0.0007357232478797,-0.0033517820639294,-0.0009574678683191,-0.0054850438476143,2565.0
9,9,2021-12-10,15.79,15.87,14.87,15.01,15.01,41344200,14.58,14.65,13.86,8.91,-0.0286475682878081,0.0266292922214437,-0.0057388809182209,0.0396732788798133,-0.0507664246050298,0.0105768648138562,-0.0066847225112147,0.0568371088686532,0.0008206831688046,0.000709119204215,3.293475419351997e-05,0.0015739690570754,0.0025772298671781,0.0001118700692905,4.468551505194056e-05,0.0032304569445471,-0.0017565466983735,0.0005972491349244,-1.1750760858420594e-05,-0.0016564878874716,2566.0
